期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2021年4月4日 - 9月26日,日曜 0:57 - 1:00（土曜深夜）,TOKYO MX,東京都,リピート放送あり,放送,2021-04-04,2021-09-26
2021年4月4日 - 9月26日,日曜 0:57 - 1:00（土曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2021-04-04,2021-09-26
