期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2022年10月2日 - 2023年3月26日,日曜 9:45 - 10:00,テレビ大阪（製作局）、テレビ東京（製作参加）をはじめとするテレビ東京系列全6局,北海道関東広域圏愛知県大阪府岡山県香川県福岡県,字幕放送 / テレビ大阪のみリピート放送あり,放送,,2022-10-02,2023-03-26
2022年10月2日,日曜 10:00更新,,,,配信,TVer,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,YouTube タカラトミーチャンネル,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,ネットもテレ東,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,ABEMAプレミアム,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,Amazon Prime Video,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,dアニメストア（本店・ニコニコ支店・for Prime Video）,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,DMM.com,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,FOD,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,GYAO!,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,GYAO!ストア,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,HAPPY!動画,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,Hulu,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,music.jp,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,Rakuten TV,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,TELASA,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,U-NEXT,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,VIDEX,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,アニメカ,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,アニメ放題,2022-10-02,
2022年10月2日,日曜 10:00更新,,,,配信,ビデオマーケット,2022-10-02,
2022年10月3日,月曜 3:45 - 4:00,,,,配信,ABEMA,2022-10-03,
2022年10月4日,火曜 0:00（月曜深夜）更新,,,,配信,J:COMオンデマンド,2022-10-04,
2022年10月4日,火曜 0:00（月曜深夜）更新,,,,配信,Milplus,2022-10-04,
