期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年7月8日 - 9月23日,金曜 22:30 - 23:00,TOKYO MX,東京都,,放送,2022-07-08,2022-09-23
2022年7月8日 - 9月23日,金曜 23:30 - 土曜 0:00,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2022-07-08,2022-09-23
2022年7月13日 - 9月28日,水曜 1:55 - 2:25（火曜深夜）,静岡放送,静岡県,『アニメ6区』枠,放送,2022-07-13,2022-09-28
2022年7月14日 - 9月29日,木曜 23:00 - 23:30,AT-X,日本全域,CS放送 / リピート放送あり,放送,2022-07-14,2022-09-29
2022年7月15日 - 9月30日,金曜 0:30 - 1:00（木曜深夜）,岐阜放送,岐阜県,,放送,2022-07-15,2022-09-30
2022年7月15日 - 9月30日,金曜 1:59 - 2:29（木曜深夜）,南海放送,愛媛県,,放送,2022-07-15,2022-09-30
2022年7月28日 -,木曜 1:18 - 1:48（水曜深夜）,長崎文化放送,長崎県,あに。枠 / 初回は2:00 - 2:30に放送。,放送,2022-07-28,
