期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年7月13日 - 10月19日,水曜 1:29 - 1:59（火曜深夜）,日本テレビ,関東広域圏,製作参加 / 『AnichU』枠,放送,2022-07-13,2022-10-19
2022年7月14日 - 9月15日2022年10月7日 - 10月21日,木曜 21:00 - 21:30金曜 22:00 - 22:30,AT-X,日本全域,CS放送 / 字幕放送[31] / リピート放送あり,放送,2022-07-14,
2022年7月15日 - 9月16日2022年12月27日,金曜 0:30 - 1:00（木曜深夜）火曜 23:30 - 水曜 1:00,BS日テレ,日本全域,製作参加 / BS放送 / 『アニメにむちゅ〜』枠第10話以降は3話連続放送,放送,2022-07-15,
2022年10月7日 - 12月23日,金曜 2:00 - 2:30（木曜深夜）,BS12 トゥエルビ,日本全域,BS放送 / 『アニメ26』枠,放送,2022-10-07,2022-12-23
