期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2019年7月8日 - 9月1日（第1期）2021年7月5日 - 8月23日（第2期）,月曜 1:00 - 1:05（日曜深夜）,TOKYO MX,東京都,[21][22],放送,2019-07-08,
2021年7月5日 - 8月23日（第2期）,月曜 1:00 - 1:05（日曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠[22],放送,2021-07-05,2021-08-23
