期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年4月10日 - 7月10日,日曜 2:00 - 2:30（土曜深夜）,朝日放送テレビ（幹事局）をはじめとするテレビ朝日系列全24局,日本国内[注釈 3],『ANiMAZiNG!!!』枠,放送,2022-04-10,2022-07-10
2022年4月13日 - 7月13日,水曜 23:00 - 23:30,AT-X,日本全域,CS放送 /  字幕放送[108] / リピート放送あり,放送,2022-04-13,2022-07-13
2022年4月16日 - 7月16日,土曜 2:00 - 2:30（金曜深夜）,BS12 トゥエルビ,日本全域,BS放送 / 『アニメ26』枠,放送,2022-04-16,2022-07-16
