期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2022年7月3日 - 9月18日,日曜 23:00 - 23:30,TOKYO MX,東京都,,放送,,2022-07-03,2022-09-18
2022年7月5日 - 9月20日,火曜  0:30 - 1:00（月曜深夜）,BS日テレ,日本全域,BS/BS4K放送 / 『アニメにむちゅ〜』枠,放送,,2022-07-05,2022-09-20
2022年7月6日 - 9月21日,水曜 3:30 - 4:00（火曜深夜）,毎日放送,近畿広域圏,『アニメ特区』第3部 / 初回 3:50 - 4:20,放送,,2022-07-06,2022-09-21
2022年7月3日,日曜 23:30 更新,,,,配信,Amazon Prime Video,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,アニメ放題,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,ABEMAプレミアム,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,FOD,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,MBS動画イズム,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,auスマートパスプレミアム,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,GYAO!ストア,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,J:COMオンデマンド,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,TELASA,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,dアニメストア,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,dTV,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,ニコニコチャンネル[13],2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,HAPPY!動画,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,バンダイチャンネル,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,ひかりTV,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,ビデオマーケット,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,Hulu,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,music.jp,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,milplus,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,U-NEXT,2022-07-03,
2022年7月3日,日曜 23:30 更新,,,,配信,RakutenTV,2022-07-03,
2022年7月6日,水曜 12:00 更新,,,,配信,GYAO![14],2022-07-06,
2022年7月6日,水曜 23:00 - 23:30,,,,配信,ニコニコ生放送[13],2022-07-06,
2022年7月7日 -,木曜 1:00 - 1:30（水曜深夜）,,,,配信,ABEMAアニメチャンネル[15],2022-07-07,
2022年7月8日 -,金曜 20:00 更新,,,,配信,TVer,2022-07-08,
2022年7月8日 -,金曜 20:00 更新,,,,配信,MBS動画イズム,2022-07-08,
