期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2021年4月4日 - 2022年3月27日,日曜 9:30 - 10:00,テレビ大阪（製作局）をはじめとするテレビ東京系列全6局,日本国内[注 1],,放送,2021-04-04,2022-03-27
2021年5月8日 -,土曜 18:00 - 18:30,キッズステーション,日本全域,,放送,2021-05-08,
