期間,時間,放送局,"対象地域・備考
[1]",タイプ,備考,配信サイト,開始,終了
2015年10月11日 - 2016年1月10日,日曜 9:20 - 9:30,チャンネルNECO,日本全域1月3日は放送休止,放送,,,2015-10-11,2016-01-10
2020年9月7日 - 9月28日,月曜 24:00 - 24:30,AT-X,日本全域リピート放送あり3話連続放送（13話のみ10分枠）,放送,,,2020-09-07,2020-09-28
2020年10月6日 - 12月29日,火曜 21:42 - 21:50,AT-X,日本全域リピート放送あり,放送,,,2020-10-06,2020-12-29
2020年10月6日,火曜 21:51,,,配信,,AbemaTV,2020-10-06,
