期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2020年1月9日 - 4月16日,木曜 23:00 - 23:30,AT-X,日本全域,製作参加 / CS放送,放送,2020-01-09,2020-04-16
2020年1月9日 - 4月17日,木曜 23:30 - 金曜 0:00,TOKYO MX,東京都,,放送,2020-01-09,2020-04-17
2020年1月9日 - 4月17日,木曜 23:30 - 金曜 0:00,BS11,日本全域,製作参加 / BS放送 / 『ANIME+』枠,放送,2020-01-09,2020-04-17
2020年1月10日 - 4月17日,金曜 0:30 - 1:00（木曜深夜）,サンテレビ,兵庫県,,放送,2020-01-10,2020-04-17
