期間,時間,放送局,"対象地域・備考
[59]",タイプ,配信サイト,開始,終了
2023年1月7日 - 3月25日,土曜 23:00 - 23:30,テレビ東京（製作参加）ほか系列全6局,北海道・関東広域圏・愛知県・大阪府・岡山県・香川県・福岡県初回は23:15 - 23:45に放送,放送,,2023-01-07,2023-03-25
2023年1月9日 - 3月27日,月曜 22:00 - 22:30,AT-X,CS放送 / リピート放送あり,放送,,2023-01-09,2023-03-27
2023年2月6日 - 4月24日,月曜 17:00 - 17:30,テレビ和歌山,和歌山県[60],放送,,2023-02-06,2023-04-24
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,ABEMAプレミアム（ABEMAビデオ）,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,Amazon Prime Video,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,DMM TV,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,dアニメストア（本店・ニコニコ支店・for Prime Video）,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,FOD,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,Hulu,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,Paravi,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,U-NEXT,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,アニメ放題,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,バンダイチャンネル,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,GYAO!,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,TVer,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,ネットもテレ東,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,Google Play,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,GYAO!ストア,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,music.jp,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,Rakuten TV,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,ニコニコチャンネル,2023-01-07,
2023年1月7日,土曜 23:45 配信（第1話）土曜 23:30 更新（第2話以降）,,,配信,ビデオマーケット,2023-01-07,
2023年1月7日,土曜 23:45 - 日曜 0:15（第1話）土曜 23:30 - 日曜 0:00（第2話以降）,,,配信,ABEMA,2023-01-07,
2023年1月8日,日曜 0:00 - 0:30（土曜深夜、第1話）土曜 23:30 - 日曜 0:00（第2話以降）,,,配信,ニコニコ生放送,2023-01-08,
2023年1月8日,日曜 10:00 更新,,,配信,ビデックスJP,2023-01-08,
2023年1月8日,日曜 12:00 更新,,,配信,HAPPY!動画,2023-01-08,
2023年1月10日,火曜 0:00（月曜深夜） 更新,,,配信,J:COMオンデマンド,2023-01-10,
2023年1月10日,火曜 0:00（月曜深夜） 更新,,,配信,milplus,2023-01-10,
2023年1月10日,火曜 0:00（月曜深夜） 更新,,,配信,TELASA,2023-01-10,
2023年1月10日,火曜 0:00（月曜深夜） 更新,,,配信,auスマートパスプレミアム,2023-01-10,
