期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2015年4月4日 - 6月27日,土曜 1:05 - 1:35（金曜深夜）,TOKYO MX,東京都,,放送,,2015-04-04,2015-06-27
2015年4月5日 - 6月28日,日曜 0:30 - 1:00（土曜深夜）,KBS京都,京都府,,放送,,2015-04-05,2015-06-28
2015年4月5日 - 6月28日,日曜 2:20 - 2:50（土曜深夜）,テレビ愛知,愛知県,,放送,,2015-04-05,2015-06-28
2015年4月5日 - 6月28日,日曜 18:00 - 18:30,AT-X,日本全域,CS放送 / リピート放送あり,放送,,2015-04-05,2015-06-28
2015年4月6日 - 6月29日,月曜 0:00 - 0:30（日曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2015-04-06,2015-06-29
2015年4月6日 - 6月29日,月曜 1:00 - 1:30（日曜深夜）,サンテレビ,兵庫県,,放送,,2015-04-06,2015-06-29
2015年4月5日,日曜 12:00 更新,,,,配信,dアニメストア,2015-04-05,
2015年4月5日,日曜 12:00 更新,,,,配信,ニコニコチャンネル,2015-04-05,
2015年4月5日,日曜 12:00 更新,,,,配信,アニメ放題[36],2015-04-05,
2015年4月5日,日曜 23:30 - 月曜 0:00,,,,配信,ニコニコ生放送,2015-04-05,
2015年4月11日,土曜 12:00 更新,,,,配信,バンダイチャンネル,2015-04-11,
2015年4月11日,土曜 12:00 更新,,,,配信,GYAO!,2015-04-11,
2015年4月11日,土曜 12:00 更新,,,,配信,ビデオマーケット,2015-04-11,
2019年7月13日 - 9月28日,土曜 0:30 - 1:00（金曜深夜）,TOKYO MX,東京都,,放送,,2019-07-13,2019-09-28
2019年7月13日 - 9月28日,土曜 0:30 - 1:00（金曜深夜）,KBS京都,京都府,,放送,,2019-07-13,2019-09-28
2019年7月13日 - 9月28日,土曜 0:30 - 1:00（金曜深夜）,サンテレビ,兵庫県,,放送,,2019-07-13,2019-09-28
2019年7月13日 - 9月28日,土曜 0:30 - 1:00（金曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2019-07-13,2019-09-28
2019年7月13日 - 9月28日,土曜 0:30 - 1:00（金曜深夜）,AT-X,日本全域,CS放送 / リピート放送あり,放送,,2019-07-13,2019-09-28
2019年7月13日,土曜 0:30 更新,,,,配信,U-NEXT,2019-07-13,
2019年7月13日,土曜 0:30 更新,,,,配信,アニメ放題,2019-07-13,
2019年7月15日,月曜 0:00 更新,,,,配信,dアニメストア,2019-07-15,
2019年7月15日,月曜 0:00 更新,,,,配信,Netflix,2019-07-15,
2019年7月15日,月曜 0:00 更新,,,,配信,AbemaTV,2019-07-15,
2019年7月15日,月曜 0:00 更新,,,,配信,Amazon Prime Video,2019-07-15,
2019年7月15日,月曜 0:00 更新,,,,配信,GYAO!,2019-07-15,
2019年7月15日,月曜 0:00 更新,,,,配信,バンダイチャンネル,2019-07-15,
2019年7月15日,月曜 0:00 更新,,,,配信,Hulu,2019-07-15,
2019年7月15日,月曜 0:00 更新,,,,配信,FOD,2019-07-15,
2019年7月15日,月曜 0:00 更新,,,,配信,ビデオパス,2019-07-15,
