期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年4月3日 - 6月19日,日曜 22:00 - 22:30,AT-X,日本全域,製作参加 / CS放送 / 字幕放送[50] / リピート放送あり,放送,2022-04-03,2022-06-19
2022年4月4日 - 6月20日,月曜 0:30 - 1:00（日曜深夜）,TOKYO MX,東京都,,放送,2022-04-04,2022-06-20
2022年4月5日 - 6月21日,火曜 0:00 - 0:30（月曜深夜）,BS日テレ,日本全域,BS/BS4K放送 / 『アニメにむちゅ〜』枠,放送,2022-04-05,2022-06-21
2022年4月5日 - 6月21日,火曜 2:59 - 3:29（月曜深夜）,読売テレビ,近畿広域圏,『MANPA』第3部,放送,2022-04-05,2022-06-21
