期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2020年1月13日 - 3月30日,月曜 0:00 - 0:30（日曜深夜）,TOKYO MX,東京都,,放送,2020-01-13,2020-03-30
2020年1月13日 - 3月30日,月曜 0:00 - 0:30（日曜深夜）,BS11,日本全域,製作参加 / BS放送 / 『ANIME+』枠,放送,2020-01-13,2020-03-30
2020年1月15日 - 4月1日,水曜 3:00 - 3:30（火曜深夜）,毎日放送,近畿広域圏,製作参加 / 『アニメ特区』第2部,放送,2020-01-15,2020-04-01
