期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2018年10月6日 - 2019年7月6日,土曜 2:55 - 3:25（金曜深夜）,毎日放送,近畿広域圏,,放送,,2018-10-06,2019-07-06
2018年11月4日 -,日曜 19:00 - 19:30,アニマックス,日本全域,BS/CS放送 / 字幕放送 / リピート放送あり[36],放送,,2018-11-04,
2019年7月28日,日曜 20:00 - 21:00,TOKYO MX,東京都,,放送,,2019-07-28,
2019年7月28日,日曜 20:00 - 21:00,BS11,日本全域,BS放送,放送,,2019-07-28,
2019年7月29日,月曜 2:25 - 3:25（日曜深夜）,毎日放送,近畿広域圏,,放送,,2019-07-29,
2018年10月8日,月曜 0:00 - 0:30,,,第1話放送後のみ、Abemaアニメ2でアフタートークを配信。,配信,AbemaTV,2018-10-08,
2018年10月10日,水曜 12:00 更新,,,,配信,dアニメストア,2018-10-10,
2018年10月10日,水曜 12:00 更新,,,,配信,Hulu,2018-10-10,
2018年10月10日,水曜 12:00 更新,,,,配信,U-NEXT,2018-10-10,
2018年10月10日,水曜 12:00 更新,,,,配信,Netflix,2018-10-10,
2018年10月10日,水曜 12:00 更新,,,,配信,アニメ放題,2018-10-10,
2022年1月8日 - 3月26日,土曜 0:30 - 1:00（金曜深夜）,TOKYO MX,東京都,,放送,,2022-01-08,2022-03-26
2022年1月8日 - 3月26日,土曜 0:30 - 1:00（金曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2022-01-08,2022-03-26
2022年1月8日 - 3月26日,土曜 2:55 - 3:25（金曜深夜）,毎日放送,近畿広域圏,,放送,,2022-01-08,2022-03-26
2022年1月22日 - 4月9日,土曜 20:00 - 20:30,アニマックス,日本全域,BS/CS放送,放送,,2022-01-22,2022-04-09
2021年12月1日,-,,,全話一挙にテレビ放送先行配信[1],配信,Netflix,2021-12-01,
2022年1月8日,土曜 0:30 - 1:00（金曜深夜）,,,リニア放送のみ,配信,ABEMA,2022-01-08,
2022年10月8日 -,土曜 0:30 - 1:00（金曜深夜）,TOKYO MX,東京都,,放送,,2022-10-08,
2022年10月8日 -,土曜 0:30 - 1:00（金曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2022-10-08,
2022年10月8日 -,土曜 2:55 - 3:25（金曜深夜）,毎日放送,近畿広域圏,,放送,,2022-10-08,
2022年10月8日 -,土曜 21:30 - 22:00,アニマックス,日本全域,BS/CS放送,放送,,2022-10-08,
2022年9月1日,-,,,全話一挙にテレビ放送先行配信[39],配信,Netflix,2022-09-01,
2022年10月8日,土曜 0:30 - 1:00（金曜深夜）,,,リニア放送のみ,配信,ABEMA,2022-10-08,
2023年1月7日 -,土曜 0:30 - 1:00（金曜深夜）,TOKYO MX,東京都,,放送,,2023-01-07,
2023年1月7日 -,土曜 0:30 - 1:00（金曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2023-01-07,
2023年1月7日 -,土曜 2:55 - 3:25（金曜深夜）,毎日放送,近畿広域圏,,放送,,2023-01-07,
2023年1月14日 -,土曜 21:30 - 22:00,アニマックス,日本全域,BS/CS放送,放送,,2023-01-14,
2022年12月1日,-,,,全話一挙にテレビ放送先行配信[41],配信,Netflix,2022-12-01,
2023年1月7日,土曜 0:30 - 1:00（金曜深夜）,,,リニア放送のみ,配信,ABEMA,2023-01-07,
