期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2020年4月11日 - 7月4日,土曜 1:25 - 1:55（金曜深夜）,TBS系列全28局,日本国内[注 4],字幕放送 / 連動データ放送『スーパーアニメイズム』枠,放送,2020-04-11,2020-07-04
2020年4月11日 - 7月4日,土曜 20:00 - 20:30,AT-X,日本全域,CS放送 / リピート放送あり,放送,2020-04-11,2020-07-04
