期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2020年1月11日 - 3月28日,土曜 1:23 - 1:53（金曜深夜）,テレビ東京,関東広域圏,製作参加,放送,,2020-01-11,2020-03-28
2020年1月11日 - 3月28日,土曜 2:05 - 2:35（金曜深夜）,テレビ愛知,愛知県,,放送,,2020-01-11,2020-03-28
2020年1月11日 - 3月28日,土曜 2:10 - 2:40（金曜深夜）,テレビ大阪,大阪府,,放送,,2020-01-11,2020-03-28
2020年1月11日 - 3月28日,土曜 21:30 - 22:00,AT-X,日本全域,CS放送 / リピート放送あり[29],放送,,2020-01-11,2020-03-28
2020年2月2日 - 4月26日,日曜 19:30 - 20:00,アニマックス,日本全域,BS/CS放送[30],放送,,2020-02-02,2020-04-26
2020年1月11日,土曜 12:00 更新,,,,配信,あにてれ,2020-01-11,
2020年1月11日,土曜 12:00 更新,,,,配信,dTV,2020-01-11,
2020年1月16日,木曜 0:00 更新,,,,配信,Amazonプライム・ビデオ,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,dアニメストア,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,バンダイチャンネル,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,AbemaTV,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,Paravi,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,ビデオパス,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,GYAO!,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,GYAO!ストア,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,HAPPY!動画,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,Rakuten TV,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,ニコニコチャンネル,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,ビデオマーケット,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,J:COMオンデマンド,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,Google Play,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,ムービーフルPlus,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,ビデックスJP,2020-01-16,
2020年1月16日,木曜 0:00 更新,,,,配信,DMM.com,2020-01-16,
2020年1月16日,木曜 12:00 更新,,,,配信,アニメ放題,2020-01-16,
2020年1月16日,木曜 12:00 更新,,,,配信,U-NEXT,2020-01-16,
2020年1月16日,木曜 19:00 更新,,,,配信,TSUTAYA TV,2020-01-16,
2020年1月16日,木曜 22:00 - 22:30,,,,配信,ニコニコ生放送,2020-01-16,
2020年2月3日,月曜 0:00 更新,,,,配信,アニマックスオンデマンド,2020-02-03,
