期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2020年4月4日 - 6月20日,土曜 22:00 - 22:30,TOKYO MX,東京都,製作参加,放送,2020-04-04,2020-06-20
2020年4月7日 - 6月23日,火曜 0:30 - 1:00（月曜深夜）,BSフジ,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,2020-04-07,2020-06-23
2020年4月7日 - 6月23日,火曜 2:59 - 3:29（月曜深夜）,読売テレビ,近畿広域圏,『MANPA』第3部,放送,2020-04-07,2020-06-23
2020年4月10日 - 6月26日,金曜 22:30 - 23:00,AT-X,日本全域,CS放送 / リピート放送あり,放送,2020-04-10,2020-06-26
2020年4月15日 - 7月1日,水曜 2:00 - 2:30（火曜深夜）,J:COMテレビ,日本国内,CATV / 『アニおび』枠,放送,2020-04-15,2020-07-01
