期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2020年1月8日 - 4月15日,水曜 22:30 - 23:00,TOKYO MX,東京都,製作参加 / リピート放送あり,放送,2020-01-08,2020-04-15
2020年1月8日 - 4月15日,水曜 22:30 - 23:00,KBS京都,京都府,,放送,2020-01-08,2020-04-15
2020年1月9日 - 4月20日,木曜 0:00 - 0:30（水曜深夜）,サンテレビ,兵庫県,,放送,2020-01-09,2020-04-20
2020年1月9日 - 4月23日,木曜 1:50 - 2:20（水曜深夜）,大分朝日放送,大分県,,放送,2020-01-09,2020-04-23
2020年1月9日 - 4月21日,木曜 3:05 - 3:35（水曜深夜）,テレビ愛知,愛知県,,放送,2020-01-09,2020-04-21
2020年1月10日 - 4月16日,金曜 1:00 - 1:30（木曜深夜）,BS日テレ,日本全域,BS/BS4K放送 / 『アニメにむちゅ〜』枠,放送,2020-01-10,2020-04-16
2020年1月10日 - 4月18日,金曜 21:00 - 21:30,AT-X,日本全域,CS放送 / リピート放送あり,放送,2020-01-10,2020-04-18
2020年1月14日 - 4月21日,火曜 1:55 - 2:21（月曜深夜）,長崎文化放送,長崎県,『あに。』枠,放送,2020-01-14,2020-04-21
