期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2020年7月4日 - 9月26日,土曜 23:30 - 日曜 0:00,TOKYO MX,東京都,製作参加,放送,,2020-07-04,2020-09-26
2020年7月4日 - 9月26日,土曜 23:30 - 日曜 0:00,とちぎテレビ,栃木県,,放送,,2020-07-04,2020-09-26
2020年7月4日 - 9月26日,土曜 23:30 - 日曜 0:00,群馬テレビ,群馬県,,放送,,2020-07-04,2020-09-26
2020年7月4日 - 9月26日,土曜 23:30 - 日曜 0:00,BS11,日本全域,製作参加 / BS放送 / 『ANIME+』枠,放送,,2020-07-04,2020-09-26
2020年7月4日 - 9月26日,土曜 23:30 - 日曜 0:00,AT-X,日本全域,製作参加 / CS放送 / リピート放送あり,放送,,2020-07-04,2020-09-26
2020年7月6日 - 9月28日,月曜 2:05 - 2:35（日曜深夜）,テレビ愛知,愛知県,,放送,,2020-07-06,2020-09-28
2020年7月7日 - 9月29日,火曜 1:59 - 2:29（月曜深夜）,読売テレビ,近畿広域圏,『MANPA』第1部,放送,,2020-07-07,2020-09-29
2020年7月22日 - 10月14日,水曜 1:54 - 2:21（火曜深夜）,長崎文化放送,長崎県,『あに。』枠,放送,,2020-07-22,2020-10-14
2020年7月4日,土曜 23:30 更新,,,,配信,dアニメストア,2020-07-04,
2020年7月7日,火曜 23:30 - 水曜 0:00,,,,配信,ABEMA,2020-07-07,
2020年7月9日,木曜 23:30 - 金曜 0:00,,,,配信,ニコニコ生放送,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,ニコニコチャンネル,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,GYAO!,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,ひかりTV,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,FOD,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,バンダイチャンネル,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,hulu,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,J:COMオンデマンド,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,TELASA,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,U-NEXT,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,アニメ放題,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,Amazonプライム・ビデオ,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,Netflix,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,マンガUP!,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,Rakuten TV,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,DMM.com,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,ビデオマーケット,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,HAPPY!動画,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,ムービーフルPLUS,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,クランクイン!ビデオ,2020-07-09,
2020年7月9日,木曜 23:30 更新,,,,配信,PlayStation Video,2020-07-09,
2023年1月8日 -,日曜 0:30 - 1:00（土曜深夜）,TOKYO MX,東京都,製作参加,放送,,2023-01-08,
2023年1月8日 -,日曜 0:30 - 1:00（土曜深夜）,とちぎテレビ,栃木県,,放送,,2023-01-08,
2023年1月8日 -,日曜 0:30 - 1:00（土曜深夜）,群馬テレビ,群馬県,,放送,,2023-01-08,
2023年1月8日 -,日曜 0:30 - 1:00（土曜深夜）,BS11,日本全域,製作参加 / BS放送 / 『ANIME+』枠,放送,,2023-01-08,
2023年1月8日 -,日曜 0:30 - 1:00（土曜深夜）,AT-X,日本全域,製作参加 / CS放送 / 字幕放送[42] / リピート放送あり,放送,,2023-01-08,
2023年1月11日 -,水曜 2:05 - 2:35（火曜深夜）,テレビ愛知,愛知県,,放送,,2023-01-11,
2023年1月11日 -,水曜 3:41 - 4:11（火曜深夜）,読売テレビ,近畿広域圏,製作参加,放送,,2023-01-11,
2023年1月8日,日曜 0:30 更新,,,,配信,dアニメストア,2023-01-08,
2023年1月15日,日曜 0:30 更新,,,,配信,ABEMA,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,ニコニコ生放送,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,ニコニコチャンネル,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,ひかりTV,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,GYAO!,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,FOD,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,バンダイチャンネル,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,hulu,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,TELASA,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,J:COMオンデマンド,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,milplus,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,U-NEXT,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,アニメ放題,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,Amazonプライム・ビデオ,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,DMM TV,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,Netflix,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,Rakuten TV,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,music.jp,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,ビデオマーケット,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,HAPPY!動画,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,マンガUP!,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,クランクイン!ビデオ,2023-01-15,
2023年1月15日,日曜 0:30 更新,,,,配信,ムービーフルPLUS,2023-01-15,
2023年1月15日,日曜 10:00 更新,,,,配信,ytv MyDo!,2023-01-15,
2023年1月15日,日曜 10:00 更新,,,,配信,TVer,2023-01-15,
