期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年7月6日 - 9月21日,水曜 23:30 - 木曜 0:00,AT-X,日本全域,製作参加 / CS放送 / リピート放送ありR15+指定 / 《超ハーレムver.》での放送[36],放送,2022-07-06,2022-09-21
2022年7月7日 - 9月22日,木曜 1:35 - 2:05（水曜深夜）,TOKYO MX,東京都,,放送,2022-07-07,2022-09-22
2022年7月10日 - 9月25日,日曜 3:00 - 3:30（土曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2022-07-10,2022-09-25
2022年7月13日 - 9月28日,水曜 3:00 - 3:30（火曜深夜）,奈良テレビ放送,奈良県,,放送,2022-07-13,2022-09-28
2022年7月18日 - 9月26日,月曜 2:30 - 3:00（日曜深夜）,びわ湖放送,滋賀県,初回は2話連続放送,放送,2022-07-18,2022-09-26
2022年8月5日 - 9月30日,金曜 2:30 - 3:00（木曜深夜）,テレ玉,埼玉県,8月19日までは2話連続放送[32]。,放送,2022-08-05,2022-09-30
