期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2022年7月6日 - 8月31日,水曜 22:00 - 22:30,AT-X,日本全域,製作参加 / CS放送 / 字幕放送[71] / リピート放送あり,放送,,2022-07-06,2022-08-31
2022年7月6日 - 8月31日,水曜 23:30 - 木曜 0:00,TOKYO MX,東京都,,放送,,2022-07-06,2022-08-31
2022年7月7日 - 9月1日,木曜 0:30 - 1:00（水曜深夜）,KBS京都,京都府,,放送,,2022-07-07,2022-09-01
2022年7月7日 - 9月1日,木曜 0:30 - 1:00（水曜深夜）,サンテレビ,兵庫県,,放送,,2022-07-07,2022-09-01
2022年7月7日 - 9月1日,木曜 23:00 - 23:30,BS11,日本全域,製作参加 / BS放送 / 『ANIME+』枠,放送,,2022-07-07,2022-09-01
2022年7月9日 - 9月3日,土曜 3:05 - 3:35（金曜深夜）,テレビ愛知,愛知県,,放送,,2022-07-09,2022-09-03
2022年10月6日 - 12月22日,木曜 22:30 - 23:00,AT-X,日本全域,製作参加 / CS放送 / 字幕放送[73] / リピート放送あり,放送,,2022-10-06,2022-12-22
2022年10月7日 - 12月23日,金曜 1:00 - 1:30（木曜深夜）,BS11,日本全域,製作参加 / BS放送 / 『ANIME+』枠,放送,,2022-10-07,2022-12-23
2022年10月8日 - 12月24日,土曜 1:35 - 2:05（金曜深夜）,TOKYO MX,東京都,,放送,,2022-10-08,2022-12-24
2022年10月8日 - 12月24日,土曜 23:30 - 日曜 0:00,KBS京都,京都府,,放送,,2022-10-08,2022-12-24
2022年10月9日 - 12月25日,日曜 0:30 - 1:00（土曜深夜）,サンテレビ,兵庫県,,放送,,2022-10-09,2022-12-25
2022年10月12日 - 12月28日,水曜 2:05 - 2:35（火曜深夜）,テレビ愛知,愛知県,,放送,,2022-10-12,2022-12-28
2023年3月8日,水曜 22:30 - 23:00,AT-X,日本全域,製作参加 / CS放送 / 字幕放送[74] / リピート放送あり,放送,,2023-03-08,
2023年3月10日,金曜 1:00 - 1:30（木曜深夜）,BS11,日本全域,製作参加 / BS放送 / 『ANIME+』枠,放送,,2023-03-10,
2023年3月10日,金曜 1:00 - 1:30（木曜深夜）,サンテレビ,兵庫県,,放送,,2023-03-10,
2023年3月10日,金曜 1:30 - 2:00（木曜深夜）,TOKYO MX,東京都,,放送,,2023-03-10,
2023年3月10日,金曜 1:30 - 2:00（木曜深夜）,KBS京都,京都府,,放送,,2023-03-10,
2023年3月10日,金曜 3:05 - 3:35（木曜深夜）,テレビ愛知,愛知県,,放送,,2023-03-10,
2022年7月6日,水曜 23:30 更新,,,,配信,Netflix,2022-07-06,
2022年7月6日,水曜 23:30 更新,,,,配信,ABEMA,2022-07-06,
2022年7月6日,水曜 23:30 更新,,,,配信,dアニメストア,2022-07-06,
2022年7月6日,水曜 23:30 更新,,,,配信,ニコニコチャンネル[75],2022-07-06,
2022年7月6日,水曜 23:30 更新,,,,配信,GYAO!,2022-07-06,
2022年7月6日,水曜 23:30 更新,,,,配信,ひかりTV,2022-07-06,
2022年7月6日,水曜 23:30 更新,,,,配信,FOD,2022-07-06,
2022年7月6日,水曜 23:30 更新,,,,配信,バンダイチャンネル,2022-07-06,
2022年7月6日,水曜 23:30 更新,,,,配信,hulu,2022-07-06,
2022年7月6日,水曜 23:30 更新,,,,配信,TELASA,2022-07-06,
2022年7月6日,水曜 23:30 更新,,,,配信,J:COMオンデマンド,2022-07-06,
2022年7月6日,水曜 23:30 更新,,,,配信,みるプラス見放題プレミアム,2022-07-06,
