期間,時間,放送局,"対象地域・備考
[20]",タイプ,配信サイト,開始,終了
2023年1月8日 - 3月26日,日曜 2:00 - 2:30（土曜深夜）,朝日放送テレビ（制作局・幹事局）およびテレビ朝日系列全24局,日本国内[注 3]『ANiMAZiNG!!!』枠,放送,,2023-01-08,2023-03-26
2023年1月8日 - 3月26日,日曜 23:30 - 月曜 0:00,BS11,BS放送 / 『ANIME+』枠,放送,,2023-01-08,2023-03-26
2023年1月9日 - 3月27日,月曜 21:30 - 22:00,AT-X,CS放送 / 字幕放送[21] / リピート放送あり,放送,,2023-01-09,2023-03-27
2023年1月8日,日曜 2:30（土曜深夜）更新,,,配信,dアニメストア,2023-01-08,
2023年1月8日,日曜 2:30（土曜深夜）更新,,,配信,DMM TV,2023-01-08,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,U-NEXT,2023-01-13,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,アニメ放題,2023-01-13,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,ABEMA,2023-01-13,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,バンダイチャンネル,2023-01-13,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,Hulu,2023-01-13,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,FOD,2023-01-13,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,Amazon Prime Video,2023-01-13,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,ニコニコチャンネル,2023-01-13,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,GYAO!,2023-01-13,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,TVer,2023-01-13,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,Amazonビデオ,2023-01-13,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,ビデオマーケット,2023-01-13,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,music.jp,2023-01-13,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,GYAO!ストア,2023-01-13,
2023年1月13日,金曜 2:30（木曜深夜）更新,,,配信,クランクイン!ビデオ,2023-01-13,
2023年1月13日,金曜 12:00 更新,,,配信,HAPPY!動画,2023-01-13,
2023年1月14日,土曜 0:00（金曜深夜）更新,,,配信,TELASA,2023-01-14,
2023年1月14日,土曜 0:00（金曜深夜）更新,,,配信,J:COMオンデマンド,2023-01-14,
2023年1月14日,土曜 0:00（金曜深夜）更新,,,配信,milplus,2023-01-14,
2023年1月14日,土曜 0:00（金曜深夜）更新,,,配信,auスマートパスプレミアム,2023-01-14,
