期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年10月4日 - 12月20日,火曜 20:00 - 20:30,AT-X,日本全域,CS放送 / 字幕放送[23] / リピート放送あり,放送,2022-10-04,2022-12-20
2022年10月4日 - 12月20日,火曜 23:00 - 23:30,TOKYO MX,東京都,,放送,2022-10-04,2022-12-20
2022年10月7日 - 12月23日,金曜 23:30 - 土曜 0:00,BS朝日,日本全域,BS/BS4K放送 / 『アニメA』枠,放送,2022-10-07,2022-12-23
2022年10月23日 - 2023年1月22日,日曜 3:12 - 3:40（土曜深夜）,CBCテレビ,中京広域圏,,放送,2022-10-23,2023-01-22
