期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2021年7月4日 - 10月3日,日曜 1:30 - 2:00（土曜深夜）,テレビ朝日系列全24局,日本国内[注 1],字幕放送 / 『NUMAnimation』枠,放送,,2021-07-04,2021-10-03
2021年7月4日 - 10月3日,日曜 22:30 - 23:00,テレ朝チャンネル1,日本全域,CS放送 / リピート放送あり[11],放送,,2021-07-04,2021-10-03
2021年7月5日,月曜 12:00 更新,,,,配信,dアニメストア,2021-07-05,
2021年7月5日,月曜 12:00 更新,,,,配信,U-NEXT,2021-07-05,
2021年7月5日,月曜 12:00 更新,,,,配信,Amazon Prime Video,2021-07-05,
2021年7月5日,月曜 12:00 更新,,,,配信,GYAO!ストア,2021-07-05,
2021年7月5日,月曜 12:00 更新,,,,配信,TSUTAYA TV,2021-07-05,
2021年7月5日,月曜 12:00 更新,,,,配信,DMM.com,2021-07-05,
2021年7月5日,月曜 12:00 更新,,,,配信,ニコニコチャンネル,2021-07-05,
2021年7月5日,月曜 12:00 更新,,,,配信,ひかりTV,2021-07-05,
2021年7月5日,月曜 12:00 更新,,,,配信,HAPPY!動画,2021-07-05,
2021年7月5日,月曜 12:00 更新,,,,配信,バンダイチャンネル,2021-07-05,
2021年7月5日,月曜 12:00 更新,,,,配信,ビデオマーケット,2021-07-05,
2021年7月5日,月曜 12:00 更新,,,,配信,music.jp,2021-07-05,
2021年7月5日,月曜 12:00 更新,,,,配信,Rakuten TV,2021-07-05,
2021年7月8日,木曜 12:00 更新,,,,配信,ABEMA,2021-07-08,
2021年7月8日,木曜 12:00 更新,,,,配信,アニメ放題,2021-07-08,
2021年7月8日,木曜 12:00 更新,,,,配信,Hulu,2021-07-08,
2021年7月10日,土曜 21:30 - 22:00,,,,配信,ニコニコ生放送,2021-07-10,
2021年7月11日,日曜 1:00 - 1:30（土曜深夜）,,,,配信,GYAO!,2021-07-11,
