期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2013年1月3日 - 3月21日,木曜 1:30 - 1:35（水曜深夜）,TOKYO MX,東京都,,放送,2013-01-03,2013-03-21
2013年1月3日 - 3月21日,木曜 2:05 - 2:10（水曜深夜）,サンテレビ,兵庫県,,放送,2013-01-03,2013-03-21
2013年1月3日 - 3月21日,木曜 23:05 - 23:10,AT-X,日本全域,CS放送 / リピート放送あり,放送,2013-01-03,2013-03-21
2014年7月9日 - 12月24日,水曜 22:00 - 22:15,TOKYO MX,東京都,製作参加,放送,2014-07-09,2014-12-24
2014年7月9日 - 12月24日,水曜 22:00 - 22:15,KBS京都,京都府,,放送,2014-07-09,2014-12-24
2014年7月10日 - 12月25日,木曜 2:34 - 2:49（水曜深夜）,静岡第一テレビ,静岡県,,放送,2014-07-10,2014-12-25
2014年7月10日 - 12月25日,木曜 3:00 - 3:15（水曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2014-07-10,2014-12-25
2014年7月11日 - 12月26日,金曜 22:30 - 22:45,AT-X,日本全域,CS放送,放送,2014-07-11,2014-12-26
2018年7月3日 - 9月25日,火曜 1:40 - 1:55（月曜深夜）,TOKYO MX,東京都,製作参加,放送,2018-07-03,2018-09-25
2018年7月3日 - 9月25日,火曜 2:10 - 2:32（月曜深夜）,読売テレビ,近畿広域圏,『MANPA』第1部,放送,2018-07-03,2018-09-25
2018年7月3日 - 9月25日,火曜 2:30 - 2:45（月曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2018-07-03,2018-09-25
2018年7月3日 - 9月25日,火曜 21:15 - 21:30,AT-X,日本全域,CS放送 / リピート放送あり,放送,2018-07-03,2018-09-25
2018年7月9日 - 10月1日,月曜 22:30 - 22:45,J:COM,日本全域,CATV,放送,2018-07-09,2018-10-01
2018年7月9日 - 10月1日,月曜 22:40 - 22:55,スターキャット,愛知県,CATV / リピート放送あり,放送,2018-07-09,2018-10-01
2018年8月20日 - 10月1日,月曜 23:00 - 23:30,とちぎテレビ,栃木県,2話連続放送,放送,2018-08-20,2018-10-01
2022年10月5日 - 12月21日,水曜 0:30 - 1:00（火曜深夜）,TOKYO MX,東京都,,放送,2022-10-05,2022-12-21
2022年10月5日 - 12月21日,水曜 0:30 - 1:00（火曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2022-10-05,2022-12-21
2022年10月5日 - 12月21日,水曜 2:30 - 3:00（火曜深夜）,毎日放送,近畿広域圏,『アニメ特区』第1部,放送,2022-10-05,2022-12-21
2022年10月5日 - 12月21日,水曜 20:00 - 20:30,AT-X,日本全域,CS放送 / 字幕放送[45] / リピート放送あり,放送,2022-10-05,2022-12-21
