期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2015年4月10日 - 6月26日,金曜 1:35 - 1:40（木曜深夜）,テレ玉,埼玉県,リピート放送あり,放送,2015-04-10,2015-06-26
2015年4月13日 - 6月29日,月曜 19:55 - 20:00,KBS京都,京都府,,放送,2015-04-13,2015-06-29
2015年4月10日 -  6月26日,金曜 1:40 更新（木曜深夜）,ニコニコチャンネル,,第1話無料、第2話以降有料。,放送,2015-04-10,2015-06-26
2015年4月10日 -  6月26日,金曜 2:00 更新（木曜深夜）,GYAO!,,第1話無料、第2話以降有料。,放送,2015-04-10,2015-06-26
2015年4月10日 -  6月26日,金曜 12:00 更新,dアニメストア,,第1話無料配信 / 見放題サービス利用者は全話見放題,放送,2015-04-10,2015-06-26
2015年4月10日 -  6月26日,金曜 12:00 更新,バンダイチャンネル,,第1話無料、第2話以降有料。有料会員は全話見放題。,放送,2015-04-10,2015-06-26
2015年4月 -,金曜 12:00 更新,テレ玉オンデマンド,,スマートフォンのみ対応で、PCでは閲覧不可。,放送,,
2016年7月 -,木曜更新,AniChan,,YouTube上,放送,,
