期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2020年10月3日 - 12月19日,土曜 1:05 - 1:35（金曜深夜）,TOKYO MX,東京都,,放送,,2020-10-03,2020-12-19
2020年10月6日 - 12月22日,火曜 2:29 - 2:59（月曜深夜）,読売テレビ,近畿広域圏,『MANPA』第2部,放送,,2020-10-06,2020-12-22
2020年10月6日 - 12月22日,火曜 23:30 - 水曜 0:00,BS日テレ,日本全域,BS/BS4K放送 / 『アニメにむちゅ〜』枠,放送,,2020-10-06,2020-12-22
2020年10月9日 - 12月25日,金曜 22:00 - 22:30,AT-X,日本全域,CS放送 / リピート放送あり,放送,,2020-10-09,2020-12-25
2020年10月3日,土曜 1:05 - 1:35（金曜深夜）,,,,配信,ABEMA,2020-10-03,
2020年10月7日,水曜 12:00 更新,,,,配信,dアニメストア,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,U-NEXT,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,dTV,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,FOD,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,アニメ放題,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,Amazon Prime Video,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,ビデオマーケット,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,DMM.com,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,music.jp,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,GYAO!ストア,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,クランクイン！ビデオ,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,バンダイチャンネル,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,J:COMオンデマンド,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,milplus,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,イッツコムオンデマンド,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,TELASA,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,Google Play,2020-10-07,
2020年10月7日,水曜 12:00 更新,,,,配信,Rakuten TV,2020-10-07,
2023年4月8日 -,土曜 1:05 - 1:35（金曜深夜）,TOKYO MX,東京都,,放送,,2023-04-08,
2023年4月8日 -,土曜 1:30 - 2:00（金曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2023-04-08,
2023年4月9日 -,日曜 21:00 - 21:30,AT-X,日本全域,CS放送 / 字幕放送[80] / リピート放送あり,放送,,2023-04-09,
2023年4月8日,土曜 12:00 更新,,,,配信,dアニメストア,2023-04-08,
2023年4月8日,土曜 12:00 更新,,,,配信,U-NEXT,2023-04-08,
2023年4月8日,土曜 12:00 更新,,,,配信,アニメ放題,2023-04-08,
2023年4月11日,火曜 12:00 更新,,,,配信,ABEMAプレミアム,2023-04-11,
2023年4月11日,火曜 12:00 更新,,,,配信,hulu,2023-04-11,
2023年4月11日,火曜 12:00 更新,,,,配信,FOD,2023-04-11,
2023年4月11日,火曜 12:00 更新,,,,配信,メガパック,2023-04-11,
2023年4月11日,火曜 12:00 更新,,,,配信,みるプラス,2023-04-11,
2023年4月11日,火曜 12:00 更新,,,,配信,DMM TV,2023-04-11,
2023年4月11日,火曜 12:00 更新,,,,配信,Amazon Prime Video,2023-04-11,
2023年4月11日,火曜 12:00 更新,,,,配信,ビデオマーケット,2023-04-11,
2023年4月11日,火曜 12:00 更新,,,,配信,music.jp,2023-04-11,
2023年4月11日,火曜 12:00 更新,,,,配信,Google Play,2023-04-11,
2023年4月11日,火曜 12:00 更新,,,,配信,クランクイン！ビデオ,2023-04-11,
2023年4月11日,火曜 12:00 更新,,,,配信,バンダイチャンネル,2023-04-11,
2023年4月11日,火曜 12:00 更新,,,,配信,J:COMオンデマンド,2023-04-11,
2023年4月11日,火曜 12:00 更新,,,,配信,イッツコムオンデマンド,2023-04-11,
2023年4月11日,火曜 12:00 更新,,,,配信,TELASA,2023-04-11,
