期間,時間,放送局,"対象地域・備考
[35]",タイプ,開始,終了
2021年10月2日 - 12月18日,土曜 1:25 - 1:55（金曜深夜）,毎日放送（製作局）をはじめとするTBS系列全28局,秋田県・福井県・徳島県・佐賀県を除く連動データ放送 / 『スーパーアニメイズム』枠,放送,2021-10-02,2021-12-18
2021年10月3日 - 12月19日,日曜 23:00 - 23:30,BS朝日,BS/BS4K放送 / 『アニメA』枠,放送,2021-10-03,2021-12-19
2021年10月7日 - 12月23日,木曜 21:00 - 21:30,AT-X,CS放送 / リピート放送あり,放送,2021-10-07,2021-12-23
