期間,時間,放送局,"対象地域・備考
[68]",タイプ,配信サイト,開始,終了
2022年10月9日 - 2023年3月26日,日曜 1:30 - 2:00（土曜深夜）,テレビ朝日（製作参加）ほか系列全24局,日本国内[注 11]『NUMAnimation』枠,放送,,2022-10-09,2023-03-26
2022年10月9日 - 2023年3月26日,日曜 2:00 - 2:30（土曜深夜）,BS朝日,BS放送 / 『アニメA』枠,放送,,2022-10-09,2023-03-26
2022年10月9日 - 2023年3月26日,日曜 21:00 - 21:30,AT-X,CS放送 / リピート放送あり,放送,,2022-10-09,2023-03-26
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,アニメ放題,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,ABEMAビデオ（ABEMAプレミアム）,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,Amazon Prime Video,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,dアニメストア,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,Disney+,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,Netflix,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,バンダイチャンネル,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,Hulu,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,U-NEXT,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,GYAO!ストア,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,ニコニコチャンネル,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,HAPPY!動画,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,ビデオマーケット,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,music.jp,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,ムービーフルplus,2022-10-09,
2022年10月9日,日曜 2:00（土曜深夜） 更新,,,配信,Rakuten TV,2022-10-09,
2022年10月9日,日曜 20:00 - 20:30,,,配信,ABEMA,2022-10-09,
2022年10月11日,火曜 12:00 更新,,,配信,auスマートパスプレミアム,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,J:COMオンデマンドメガパック,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,TELASA,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,ひかりTV,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,milplus見放題パックプライム,2022-10-11,
2022年10月14日,金曜 20:00 更新,,,配信,GYAO!,2022-10-14,
