期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年1月30日 - 4月17日,日曜 1:30 - 2:00（土曜深夜）,テレビ朝日（製作参加）ほか系列全24局,日本国内[注 1],字幕放送 / 『NUMAnimation』枠,放送,2022-01-30,2022-04-17
2022年1月30日 - 4月17日,日曜 2:30 - 3:00（土曜深夜）,テレ朝チャンネル1,日本全域,CS放送[16],放送,2022-01-30,2022-04-17
2022年2月4日 - 4月1日 2022年4月8日 - 4月22日,金曜 23:00 - 23:30金曜 23:30 - 土曜 0:00[17],BS朝日,日本全域,製作参加 / BS/BS4K放送 / 『アニメA』枠 / 字幕放送,放送,2022-02-04,
