期間,時間,放送局,"対象地域・備考
[33]",タイプ,開始,終了
2022年12月5日 - 2023年6月19日,月曜 0:30 - 0:35（日曜深夜）,テレビ東京（製作参加）ほか系列全6局,北海道・関東広域圏・愛知県・大阪府・岡山県・香川県・福岡県,放送,2022-12-05,2023-06-19
2022年12月15日 - 2023年6月22日,木曜 22:10 - 22:16,AT-X,CS放送 / リピート放送あり,放送,2022-12-15,2023-06-22
2023年4月16日 -,日曜 11:45 - 11:50,鹿児島放送,鹿児島県[34],放送,2023-04-16,
