期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2021年4月6日 - 6月29日,火曜 1:59 - 2:29（月曜深夜）,読売テレビ,近畿広域圏,『MANPA』第1部,放送,,2021-04-06,2021-06-29
2021年4月7日 - 6月30日,水曜 22:00 - 22:30,TOKYO MX,東京都,,放送,,2021-04-07,2021-06-30
2021年4月8日 - 7月1日,木曜 0:30 - 1:00（水曜深夜）,BSフジ,日本全域,BS/BS4K放送 / 『アニメギルド』枠,放送,,2021-04-08,2021-07-01
2021年4月9日 - 7月2日,金曜 1:37 - 2:07（木曜深夜）,中京テレビ,中京広域圏,,放送,,2021-04-09,2021-07-02
2021年4月11日 - 7月4日,日曜 23:30 - 月曜 0:00,CSファミリー劇場,日本全域,CS放送,放送,,2021-04-11,2021-07-04
2021年4月6日,火曜 3:00（月曜深夜） 更新,,,,配信,dアニメストア（本店・ニコニコ支店・for Prime Video）,2021-04-06,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,ytv MyDo!,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,TVer,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,GYAO!,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,ABEMA,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,ニコニコチャンネル,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,U-NEXT,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,Amazonプライム・ビデオ,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,アニメ放題,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,バンダイチャンネル,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,ひかりTV,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,Hulu,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,FOD,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,J:COMオンデマンド,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,TELASA,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,milplus,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,Paravi,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,ビデオマーケット,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,DMM.com,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,GYAO!ストア,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,COCORO VIDEO,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,HAPPY!動画,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,music.jp,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,TSUTAYA TV,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,クランクイン！ビデオ,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,Rakuten TV,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,Google Play,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,ムービーフルPlus,2021-04-12,
