期間,時間,放送局,"対象地域・備考
[28]",タイプ,配信サイト,開始,終了
2020年4月4日 -  2021年3月20日2021年4月4日 - 2022年3月27日,土曜 7:30 - 8:00日曜 7:30 - 8:00,テレビ東京系列全6局,北海道・関東広域圏・愛知県・大阪府・岡山県・香川県・福岡県,放送,,2020-04-04,2021-03-20
2020年4月10日 - 2022年4月1日,金曜 17:28 - 17:58,BSテレ東,BS/BS4K放送,放送,,2020-04-10,2022-04-01
2020年6月5日 - 2022年5月6日,金曜 7:30 - 7:59,奈良テレビ,奈良県,放送,,2020-06-05,2022-05-06
2021年4月5日 - 9月27日2021年10月3日 - 2023年1月15日,月曜(日曜深夜) 1:30 - 2:00日曜 10：00 ‐ 10:30,びわ湖放送,滋賀県,放送,,2021-04-05,
2020年4月7日,火曜 0:00（月曜深夜） 更新,,,配信,U-NEXT,2020-04-07,
2020年4月7日,火曜 0:00（月曜深夜） 更新,,,配信,アニメ放題,2020-04-07,
2020年4月8日,水曜 12:00 更新,,,配信,あにてれ（2021年6月まで）,2020-04-08,
2020年4月8日,水曜 12:00 更新,,,配信,dアニメストア,2020-04-08,
2020年4月8日,水曜 12:00 更新,,,配信,dTV,2020-04-08,
2020年4月8日,水曜 12:00 更新,,,配信,GYAO!,2020-04-08,
2020年4月8日,水曜 12:00 更新,,,配信,GYAO!ストア,2020-04-08,
2020年4月8日,水曜 12:00 更新,,,配信,Rakuten TV,2020-04-08,
2020年4月8日,水曜 12:00 更新,,,配信,ビデオマーケット,2020-04-08,
2020年4月8日,水曜 12:00 更新,,,配信,ニコニコチャンネル,2020-04-08,
2020年4月8日,水曜 21:30 - 22:00,,,配信,ニコニコ生放送,2020-04-08,
2020年4月15日 -,水曜 12:00 更新,,,配信,バンダイチャンネル,2020-04-15,
2020年4月15日 -,水曜 12:00 更新,,,配信,J:COMオンデマンド,2020-04-15,
2020年4月15日 -,水曜 12:00 更新,,,配信,ビデオパス,2020-04-15,
2020年4月15日 -,水曜 12:00 更新,,,配信,ひかりTV,2020-04-15,
