期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2016年7月12日 - 9月27日,火曜 0:00 - 0:30（月曜深夜）,TOKYO MX,東京都,,放送,2016-07-12,2016-09-27
2016年7月12日 - 9月27日,火曜 2:30 - 2:58（月曜深夜）,読売テレビ,近畿広域圏,『MANPA』第2部,放送,2016-07-12,2016-09-27
2016年7月13日 - 9月28日,水曜 0:30 - 1:00（火曜深夜）,BSフジ,日本全域,製作参加 / BS放送,放送,2016-07-13,2016-09-28
2016年7月21日 - 10月6日,木曜 0:30 - 1:00（水曜深夜）,テレ朝チャンネル1,日本全域,CS放送 / リピート放送あり,放送,2016-07-21,2016-10-06
2019年1月7日 - 4月1日,月曜 23:00 - 23:30,TOKYO MX,東京都,,放送,2019-01-07,2019-04-01
2019年1月8日 - 4月2日,火曜 0:00 - 0:30（月曜深夜）,BSフジ,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,2019-01-08,2019-04-02
2019年1月10日 - 4月4日,木曜 2:50 - 3:20（水曜深夜）,朝日放送テレビ,近畿広域圏,『水曜アニメ〈水もん〉』第2部,放送,2019-01-10,2019-04-04
2019年1月10日 - 4月4日,木曜 21:00 - 21:30,AT-X,日本全域,CS放送 / リピート放送あり,放送,2019-01-10,2019-04-04
2022年10月6日 - 12月22日,木曜 0:00 - 0:30（水曜深夜）,TOKYO MX,東京都,,放送,2022-10-06,2022-12-22
2022年10月6日 - 12月22日,木曜 0:30 - 1:00（水曜深夜）,BSフジ,日本全域,製作参加 / BS/BS4K放送『アニメギルド』枠,放送,2022-10-06,2022-12-22
2022年10月7日2022年10月14日 - 12月23日,金曜 17:00 - 17:30金曜 17:30 - 18:00,カートゥーン ネットワーク,日本全域,CS放送 / リピート放送あり,放送,2022-10-07,2022-12-23
