期間,時間,放送局,対象地域,備考,タイプ,配信サイト,表話編歴Eテレキッズ,その他,育児,開始,終了
2020年4月25日 -,土曜 12:00 更新,,,,放送,,ひとりでできるもん! - 味楽る!ミミカ - クッキンアイドル アイ!マイ!まいん! - すすめ!キッチン戦隊クックルン - ゴー!ゴー!キッチン戦隊クックルン,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,にほんごであそぼ,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,フラグルロック - ハッチポッチステーション - クインテット - フックブックロー - コレナンデ商会 - コレナンデ サンデー,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,わくわく動物園 - ダーウィンの動物大図鑑 はろ〜!あにまる,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,からだであそぼ - あさだ!からだ!,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,ぴりっとQ - つくってワクワク - ピタゴラスイッチミニ - わたしのきもちミニ - うたっておどろんぱ!プラス - デザインあ 5分版,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,きこえタマゴ! - 子ども科学電話相談 - 夏休み子ども文芸,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,土曜朝 - 日曜朝7時台,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,忍たま乱太郎（初期） - ヤンボウ ニンボウ トンボウ - 風の少女エミリー - 少女チャングムの夢 - おさるのジョージ - ひつじのショーン - ザ・ペンギンズ from マダガスカル - きかんしゃトーマス,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,パラソルヘンべえ - おばけのホーリー - チロリン村物語 - ヤダモン - ポコニャン! - 忍たま乱太郎 - はじめ人間ゴン - はりもぐハーリー - おじゃる丸 - 南の島の小さな飛行機 バーディー - ぜんまいざむらい - リトル・チャロ - はなかっぱ - リトル・チャロ〜東北編〜 - わしも WASIMO - アイラブみー,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,ブルーナの絵本 - アエイオウ - タルピー - たんけんゴブリン島 - ハローエスカルゴ島 - プチプチ・アニメ - ケチャップ - ベイビーフィリックス - ミッフィーシリーズ - ミニアニメ - ぜんまいざむらい - うっかりペネロペ - パッコロリン - Minuscule ミニスキュル 〜小さなムシの物語〜 - チャンピオンシープス - おしりかじり虫 - マリー&ガリー - うさぎのモフィ - がんばれ!ルルロロ - ふうせんいぬティニーシリーズ - がんがんがんこちゃん - オトッペ - うちのウッチョパス - かいじゅうステップ ワンダバダ - のりものまん モービルランドのカークン - インセクトランド,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,おかあさんの勉強室 - 育児カレンダー - すくすく赤ちゃん - すくすくネットワーク - まいにちスクスク - すくすく子育て,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,あさごはん だいすき! - にこにこぷんがやってきた - BSおかあさんといっしょ - おとうさんといっしょ,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,うたのなる木 - フルーツサンデー - BSどーもくんワールド - BSななみDEどーも - みんなDEどーもくん! - ワンワンパッコロ!キャラともワールド - おしりキッズ - ワラッチャオ!,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,放送,,NHK - NHK総合テレビジョン - NHK Eテレ（番組一覧） - NHK BS1 - NHK BS - NHK BSプレミアム - NHK BSプレミアム4K - NHKラジオ第1 - NHKラジオ第2 - 子供の時間 - どようこどもSP - NHK for School - ひろがれ!いろとりどり - Eテレタイムマシン,,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,配信,,,おかあさんの勉強室 - 育児カレンダー - すくすく赤ちゃん - すくすくネットワーク - まいにちスクスク - すくすく子育て,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,配信,,,あさごはん だいすき! - にこにこぷんがやってきた - BSおかあさんといっしょ - おとうさんといっしょ,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,配信,,,うたのなる木 - フルーツサンデー - BSどーもくんワールド - BSななみDEどーも - みんなDEどーもくん! - ワンワンパッコロ!キャラともワールド - おしりキッズ - ワラッチャオ!,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,配信,,,NHK - NHK総合テレビジョン - NHK Eテレ（番組一覧） - NHK BS1 - NHK BS - NHK BSプレミアム - NHK BSプレミアム4K - NHKラジオ第1 - NHKラジオ第2 - 子供の時間 - どようこどもSP - NHK for School - ひろがれ!いろとりどり - Eテレタイムマシン,,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,配信,,,,あさごはん だいすき! - にこにこぷんがやってきた - BSおかあさんといっしょ - おとうさんといっしょ,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,配信,,,,うたのなる木 - フルーツサンデー - BSどーもくんワールド - BSななみDEどーも - みんなDEどーもくん! - ワンワンパッコロ!キャラともワールド - おしりキッズ - ワラッチャオ!,2020-04-25,
2020年4月25日 -,土曜 12:00 更新,,,,配信,,,,NHK - NHK総合テレビジョン - NHK Eテレ（番組一覧） - NHK BS1 - NHK BS - NHK BSプレミアム - NHK BSプレミアム4K - NHKラジオ第1 - NHKラジオ第2 - 子供の時間 - どようこどもSP - NHK for School - ひろがれ!いろとりどり - Eテレタイムマシン,2020-04-25,
