期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2023年1月5日 - 3月23日,木曜 23:30 - 金曜 0:00,AT-X,日本全域,製作参加 / CS放送 / 字幕放送[44] / リピート放送あり,放送,,2023-01-05,2023-03-23
2023年1月6日 - 3月24日,金曜 0:00 - 0:30（木曜深夜）,TOKYO MX,東京都,製作参加,放送,,2023-01-06,2023-03-24
2023年1月6日 - 3月24日,金曜 0:30 - 1:00（木曜深夜）,BS11,日本全域,製作参加 / BS放送 / 『ANIME+』枠,放送,,2023-01-06,2023-03-24
2023年1月6日,金曜 1:00 - 1:30（木曜深夜）,,,,配信,ABEMA,2023-01-06,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,Amazon Prime Video,2023-01-09,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,DMM TV,2023-01-09,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,dアニメストア（本店・ニコニコ支店・for Prime Video）,2023-01-09,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,FOD,2023-01-09,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,Hulu,2023-01-09,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,U-NEXT,2023-01-09,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,アニメ放題,2023-01-09,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,バンダイチャンネル,2023-01-09,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,GYAO!,2023-01-09,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,Google Play,2023-01-09,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,GYAO!ストア,2023-01-09,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,music.jp,2023-01-09,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,Rakuten TV,2023-01-09,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,ニコニコチャンネル,2023-01-09,
2023年1月9日,月曜 1:00（日曜深夜） 更新,,,,配信,ビデオマーケット,2023-01-09,
2023年1月9日,月曜 10:00 更新,,,,配信,ビデックスJP,2023-01-09,
2023年1月9日,月曜 12:00 更新,,,,配信,HAPPY!動画,2023-01-09,
2023年1月9日,月曜 23:00 - 23:30,,,,配信,ニコニコ生放送,2023-01-09,
2023年1月10日,火曜 0:00（月曜深夜） 更新,,,,配信,J:COMオンデマンド,2023-01-10,
2023年1月10日,火曜 0:00（月曜深夜） 更新,,,,配信,milplus,2023-01-10,
2023年1月10日,火曜 0:00（月曜深夜） 更新,,,,配信,TELASA,2023-01-10,
2023年1月10日,火曜 0:00（月曜深夜） 更新,,,,配信,auスマートパスプレミアム,2023-01-10,
