期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2022年7月6日 - 9月21日,水曜 21:00 - 21:30,AT-X,日本全域,製作参加 / CS放送 / 字幕放送[47] / リピート放送あり,放送,,2022-07-06,2022-09-21
2022年7月7日 - 9月22日,木曜 0:00 - 0:30（水曜深夜）,TOKYO MX,東京都,,放送,,2022-07-07,2022-09-22
2022年7月10日 - 9月25日,日曜 0:30 - 1:00（土曜深夜）,BS日テレ,日本全域,製作参加 / BS放送 / 『アニメにむちゅ〜』枠,放送,,2022-07-10,2022-09-25
2022年7月10日 - 9月25日,日曜 3:08 - 3:38（土曜深夜）,毎日放送,近畿広域圏,『アニメシャワー』第3部/作者の出身地,放送,,2022-07-10,2022-09-25
2022年7月13日 - 9月28日,水曜 0:00 - 0:30（火曜深夜）,BSフジ,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,,2022-07-13,2022-09-28
2022年7月6日,水曜 21:30 - 22:00,,,,配信,ABEMA,2022-07-06,
2022年7月7日,木曜 12:00以降 更新,,,,配信,Amazon Prime Video,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,dアニメストア,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,U-NEXT,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,アニメ放題,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,J:COMオンデマンド,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,みるプラス,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,TELASA,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,イッツコムオンデマンド,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,niconico,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,バンダイチャンネル,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,ムービーフル/Ongenムービー,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,ひかりTV,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,FOD,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,ビデオマーケット,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,Rakuten TV,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,Google Play/YouTube,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,HAPPY!動画,2022-07-07,
2022年7月7日,木曜 12:00以降 更新,,,,配信,クライン!ビデオ,2022-07-07,
