期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2021年4月11日 - 6月20日（第1クール）2021年10月3日 - 12月26日（第2クール）,日曜 0:00 - 0:30（土曜深夜）,TOKYO MX,東京都,,放送,,2021-04-11,
2021年4月11日 - 6月20日（第1クール）2021年10月3日 - 12月26日（第2クール）,日曜 0:00 - 0:30（土曜深夜）,とちぎテレビ,栃木県,,放送,,2021-04-11,
2021年4月11日 - 6月20日（第1クール）2021年10月3日 - 12月26日（第2クール）,日曜 0:00 - 0:30（土曜深夜）,群馬テレビ,群馬県,,放送,,2021-04-11,
2021年4月11日 - 6月20日（第1クール）2021年10月3日 - 12月26日（第2クール）,日曜 0:00 - 0:30（土曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2021-04-11,
2021年4月11日 - 6月20日（第1クール）2021年10月3日 - 12月26日（第2クール）,日曜 1:55 - 2:25（土曜深夜）（第1クール）日曜 2:25 - 2:55（土曜深夜）（第2クール）,中京テレビ,中京広域圏,第1クールのみ『チュッキョアニメ』枠,放送,,2021-04-11,
2021年4月11日 - 6月20日（第1クール）2021年10月3日 - 12月26日（第2クール）,日曜 21:30 - 22:00,AT-X,日本全域,CS放送 / リピート放送あり[120],放送,,2021-04-11,
2021年4月13日 - 6月22日（第1クール）2021年10月5日 - 12月28日（第2クール）,火曜 2:29 - 2:59（月曜深夜）,読売テレビ,近畿広域圏,『MANPA』第2部,放送,,2021-04-13,
2022年3月12日 - 3月19日,土曜 23:30 - 日曜 0:00,TOKYO MX,東京都,,放送,,2022-03-12,2022-03-19
2022年3月12日 - 3月19日,土曜 23:30 - 日曜 0:00,とちぎテレビ,栃木県,,放送,,2022-03-12,2022-03-19
2022年3月12日 - 3月19日,土曜 23:30 - 日曜 0:00,群馬テレビ,群馬県,,放送,,2022-03-12,2022-03-19
2022年3月12日 - 3月19日,土曜 23:30 - 日曜 0:00,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2022-03-12,2022-03-19
2022年3月20日 - 3月27日,日曜 2:25 - 2:55（土曜深夜）,中京テレビ,中京広域圏,[123][124],放送,,2022-03-20,2022-03-27
2022年5月17日 - 5月24日,火曜 1:59 - 2:29（月曜深夜）,読売テレビ,近畿広域圏,『MANPA』第1部[125],放送,,2022-05-17,2022-05-24
2022年3月以降,未定,AT-X,日本全域,CS放送,放送,,,
2021年4月11日（第1クール）2021年10月2日（第2クール）,日曜 0:00 - 0:30（土曜深夜）,,,,配信,ABEMA,2021-04-11,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,dアニメストア,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,GYAO!,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,niconico,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,ひかりTV,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,Netflix,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,FOD,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,バンダイチャンネル,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,Hulu,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,Amazonプライム・ビデオ,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,J:COMオンデマンド,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,TELASA,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,アニメ放題,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,U-NEXT,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,Rakuten TV,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,DMM.com,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,ビデオマーケット,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,HAPPY!動画,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,クランクイン！ビデオ,2021-04-18,
2021年4月18日（第1クール）2021年10月10日（第2クール）,日曜 0:00（土曜深夜） 以降,,,,配信,ムービーフルplus,2021-04-18,
