期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2020年4月2日 - 6月25日,木曜 0:30 - 1:00（水曜深夜）,TOKYO MX,東京都,,放送,,2020-04-02,2020-06-25
2020年4月2日 - 6月25日,木曜 0:30 - 1:00（水曜深夜）,とちぎテレビ,栃木県,,放送,,2020-04-02,2020-06-25
2020年4月2日 - 6月25日,木曜 0:30 - 1:00（水曜深夜）,群馬テレビ,群馬県,,放送,,2020-04-02,2020-06-25
2020年4月2日 - 6月25日,木曜 0:30 - 1:00（水曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2020-04-02,2020-06-25
2020年4月2日,木曜 0:30 更新,,,,配信,dアニメストア,2020-04-02,
2020年4月6日,月曜 0:00 更新,,,,配信,Amazonプライム・ビデオ,2020-04-06,
2020年4月6日,月曜 0:00 更新,,,,配信,アニメ放題,2020-04-06,
2020年4月6日,月曜 0:00 更新,,,,配信,あにてれ,2020-04-06,
2020年4月6日,月曜 0:00 更新,,,,配信,フジテレビオンデマンド,2020-04-06,
2020年4月6日,月曜 0:00 更新,,,,配信,J:COMオンデマンド,2020-04-06,
2020年4月6日,月曜 0:00 更新,,,,配信,TSUTAYA TV,2020-04-06,
2020年4月6日,月曜 0:00 更新,,,,配信,バンダイチャンネル,2020-04-06,
2020年4月6日,月曜 0:00 更新,,,,配信,ひかりTV,2020-04-06,
2020年4月6日,月曜 0:00 更新,,,,配信,TELASA,2020-04-06,
2020年4月6日,月曜 0:00 更新,,,,配信,ふらっと動画,2020-04-06,
2020年4月6日,月曜 0:00 更新,,,,配信,milplus,2020-04-06,
2020年4月6日,月曜 0:00 更新,,,,配信,U-NEXT,2020-04-06,
