期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2018年10月4日 - 12月20日,木曜 23:30 - 金曜 0:00,AT-X,日本全域,製作参加 / CS放送 / リピート放送あり,放送,,2018-10-04,2018-12-20
2018年10月5日 - 12月21日,金曜 0:00 - 0:30（木曜深夜）,TOKYO MX,東京都,,放送,,2018-10-05,2018-12-21
2018年10月5日 - 12月21日,金曜 0:00 - 0:30（木曜深夜）,サンテレビ,兵庫県,,放送,,2018-10-05,2018-12-21
2018年10月5日 - 12月21日,金曜 0:30 - 1:00（木曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2018-10-05,2018-12-21
2018年10月6日 - 12月22日,土曜 1:25 - 1:55（金曜深夜）,サガテレビ,佐賀県,,放送,,2018-10-06,2018-12-22
2018年10月6日 - 12月22日,土曜 2:58 - 3:28（金曜深夜）,TVQ九州放送,福岡県,,放送,,2018-10-06,2018-12-22
2018年10月4日,木曜 23:30 - 金曜 0:00,,,,配信,AbemaTV,2018-10-04,
2018年10月7日,日曜 22:00 更新,,,,配信,dTV,2018-10-07,
2018年10月7日,日曜 22:00 更新,,,,配信,DMM.com,2018-10-07,
2018年10月7日,日曜 22:00 更新,,,,配信,ビデオマーケット,2018-10-07,
2018年10月7日,日曜 22:00 更新,,,,配信,cocoro video,2018-10-07,
2018年10月7日,日曜 22:00 更新,,,,配信,music.jp,2018-10-07,
2018年10月7日,日曜 22:00 更新,,,,配信,Rakuten TV,2018-10-07,
2018年10月7日,日曜 22:00 更新,,,,配信,ひかりTV,2018-10-07,
2018年10月7日,日曜 22:00 更新,,,,配信,FOD,2018-10-07,
2018年10月7日,日曜 22:00 更新,,,,配信,Amazonプライム・ビデオ,2018-10-07,
2018年10月7日,日曜 22:00 更新,,,,配信,ニコニコチャンネル,2018-10-07,
2018年10月7日,日曜 22:00 更新,,,,配信,dアニメストア,2018-10-07,
2018年10月7日,日曜 22:00 更新,,,,配信,バンダイチャンネル,2018-10-07,
2018年10月7日,不明,,,,配信,あにてれ,2018-10-07,
2018年10月8日,月曜 0:00 更新,,,,配信,J:COMオンデマンド,2018-10-08,
2018年10月8日,月曜 12:00 更新,,,,配信,U-NEXT,2018-10-08,
2018年10月8日,月曜 12:00 更新,,,,配信,アニメ放題,2018-10-08,
2018年10月8日,月曜 19:00 更新,,,,配信,TSUTAYA TV,2018-10-08,
2018年10月8日,月曜 22:00 更新,,,,配信,ビデオパス,2018-10-08,
2021年4月8日 - 6月24日,木曜 23:30 - 金曜 0:00,AT-X,日本全域,製作参加 / CS放送 / リピート放送あり,放送,,2021-04-08,2021-06-24
2021年4月9日 - 6月25日,金曜 0:00 - 0:30（木曜深夜）,TOKYO MX,東京都,,放送,,2021-04-09,2021-06-25
2021年4月9日 - 6月25日,金曜 0:30 - 1:00（木曜深夜）,サンテレビ,兵庫県,,放送,,2021-04-09,2021-06-25
2021年4月9日 - 6月25日,金曜 0:30 - 1:00（木曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2021-04-09,2021-06-25
2021年4月10日 - 6月26日,土曜 0:55 - 1:25（金曜深夜）,サガテレビ,佐賀県,,放送,,2021-04-10,2021-06-26
2021年4月10日 - 6月26日,土曜 1:58 - 2:28（金曜深夜）,TVQ九州放送,福岡県,,放送,,2021-04-10,2021-06-26
2021年4月8日,木曜 23:15 更新,,,,配信,Amazonプライム・ビデオ,2021-04-08,
2021年4月8日,木曜 23:30 - 金曜 0:00,,,,配信,ABEMA,2021-04-08,
2021年4月11日,日曜 23:30 更新,,,,配信,dTV,2021-04-11,
2021年4月11日,日曜 23:30 更新,,,,配信,dアニメストア,2021-04-11,
2021年4月11日,日曜 23:30 更新,,,,配信,U-NEXT,2021-04-11,
2021年4月11日,日曜 23:30 更新,,,,配信,ニコニコチャンネル,2021-04-11,
2021年4月11日,日曜 23:30 更新,,,,配信,クランクイン！ビデオ,2021-04-11,
2021年4月11日,日曜 23:30 更新,,,,配信,FOD,2021-04-11,
2021年4月11日,日曜 23:30 更新,,,,配信,ビデオマーケット,2021-04-11,
2021年4月11日,日曜 23:30 更新,,,,配信,DMM.com,2021-04-11,
2021年4月11日,日曜 23:30 更新,,,,配信,music.jp,2021-04-11,
2021年4月11日,日曜 23:30 更新,,,,配信,GYAO!ストア,2021-04-11,
2021年4月11日,日曜 23:30 更新,,,,配信,cocoro video,2021-04-11,
2021年4月11日,日曜 23:30 更新,,,,配信,Rakuten TV,2021-04-11,
2021年4月11日,日曜 23:30 更新,,,,配信,HAPPY!動画,2021-04-11,
2021年4月11日,日曜 23:30 更新,,,,配信,ひかりTV,2021-04-11,
2021年4月11日,日曜 23:30 更新,,,,配信,あにてれ,2021-04-11,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,J:COMオンデマンド,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,Milplus,2021-04-12,
2021年4月12日,月曜 0:00（日曜深夜） 更新,,,,配信,TELASA,2021-04-12,
