期間,時間,放送局,"対象地域・備考
[23]",タイプ,配信サイト,開始,終了
2022年10月8日 - 12月24日,土曜 1:25 - 1:55（金曜深夜）,毎日放送（製作参加）をはじめとするTBS系列全28局,秋田県・福井県・徳島県・佐賀県を除く連動データ放送 / 『スーパーアニメイズム』枠,放送,,2022-10-08,2022-12-24
2022年10月8日,土曜 12:00 更新,,,配信,ABEMA,2022-10-08,
2022年10月11日,火曜 12:00 更新,,,配信,dアニメストア,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,U-NEXT,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,FOD,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,Hulu,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,アニメ放題,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,Google Play,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,Rakuten TV,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,Amazon Prime Video,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,ビデオマーケット,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,music.jp,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,GYAO!ストア,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,クランクイン！ビデオ,2022-10-11,
2022年10月11日,火曜 12:00 更新,,,配信,バンダイチャンネル,2022-10-11,
2022年10月12日,水曜 0:00（火曜深夜） 更新,,,配信,J:COMオンデマンド,2022-10-12,
2022年10月12日,水曜 0:00（火曜深夜） 更新,,,配信,milplus,2022-10-12,
2022年10月12日,水曜 0:00（火曜深夜） 更新,,,配信,イッツコムオンデマンド,2022-10-12,
2022年10月12日,水曜 0:00（火曜深夜） 更新,,,配信,TELASA,2022-10-12,
