期間,時間,放送局,"備考
[21]",タイプ,NHKワールド,開始,終了
2021年2月25日 - 2022年1月27日,8:30 - 8:55第4木曜 9:30 - 9:55,NHKワールド JAPAN,『Core Kyoto』枠月イチ放送英語字幕版（ナレーションのみ英語吹替）  リピート放送あり[4],放送,,2021-02-25,2022-01-27
2021年10月2日 - 2022年4月2日2022年4月9日 - 2022年6月11日,土曜 9:20 - 9:29土曜 8:25 - 8:35,NHK Eテレ,字幕放送 / リピート放送あり[18],放送,,2021-10-02,2022-04-02
