期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2021年4月5日 - 6月21日,月曜 0:00 - 0:30（日曜深夜）,TOKYO MX,東京都,製作参加 / リピート放送あり,放送,,2021-04-05,2021-06-21
2021年4月5日 - 6月21日,月曜 0:00 - 0:30（日曜深夜）,KBS京都,京都府,,放送,,2021-04-05,2021-06-21
2021年4月5日 - 6月21日,月曜 0:00 - 0:30（日曜深夜）,BS11,日本全域,製作参加 / BS放送 / 『ANIME+』枠,放送,,2021-04-05,2021-06-21
2021年4月5日 - 6月21日,月曜 0:30 - 1:00（日曜深夜）,サンテレビ,兵庫県,,放送,,2021-04-05,2021-06-21
2021年4月8日 - 6月24日,木曜 22:30 - 23:00,AT-X,日本全域,CS放送 / 字幕放送[17] / リピート放送あり[18],放送,,2021-04-08,2021-06-24
2021年4月10日 - 6月26日,土曜 1:00 - 1:30（金曜深夜）,J:COMテレビ,日本全国,CATV  /『アニおび』枠[19],放送,,2021-04-10,2021-06-26
2021年4月5日,月曜 0:30（日曜深夜） 更新,,,,配信,Amazonプライム・ビデオ,2021-04-05,
2021年4月5日,月曜 0:30（日曜深夜） 更新,,,,配信,dアニメストア（本店・ニコニコ支店・for Prime Video）,2021-04-05,
2021年4月5日,月曜 0:30（日曜深夜） 更新,,,,配信,FOD,2021-04-05,
2021年4月5日,月曜 0:30（日曜深夜） 更新,,,,配信,GYAO!,2021-04-05,
2021年4月5日,月曜 0:30（日曜深夜） 更新,,,,配信,Hulu,2021-04-05,
2021年4月5日,月曜 0:30（日曜深夜） 更新,,,,配信,DMM.com,2021-04-05,
2021年4月5日,月曜 0:30（日曜深夜） 更新,,,,配信,Google Play,2021-04-05,
2021年4月5日,月曜 0:30（日曜深夜） 更新,,,,配信,GYAO!ストア,2021-04-05,
2021年4月5日,月曜 0:30（日曜深夜） 更新,,,,配信,music.jp,2021-04-05,
2021年4月5日,月曜 0:30（日曜深夜） 更新,,,,配信,Rakuten TV,2021-04-05,
2021年4月5日,月曜 0:30（日曜深夜） 更新,,,,配信,ビデオマーケット,2021-04-05,
2021年4月5日,月曜 1:00（日曜深夜） 更新,,,,配信,ABEMA,2021-04-05,
2021年4月5日,月曜 10:00 更新,,,,配信,VIDEX,2021-04-05,
2021年4月5日,月曜 12:00 更新,,,,配信,バンダイチャンネル,2021-04-05,
2021年4月5日,月曜 19:00 更新,,,,配信,TSUTAYA TV,2021-04-05,
2021年4月6日,火曜 0:30（月曜深夜） 更新,,,,配信,U-NEXT,2021-04-06,
2021年4月6日,火曜 0:30（月曜深夜） 更新,,,,配信,アニメ放題,2021-04-06,
2021年4月6日,火曜 0:30（月曜深夜） 更新,,,,配信,ニコニコチャンネル,2021-04-06,
2021年4月6日,火曜 0:30（月曜深夜） 更新,,,,配信,ひかりTV,2021-04-06,
2021年4月6日,火曜 0:30 - 1:00（月曜深夜）,,,,配信,ニコニコ生放送,2021-04-06,
2021年4月7日,水曜 0:00（火曜深夜） 更新,,,,配信,J:COMオンデマンド,2021-04-07,
2021年4月7日,水曜 0:00（火曜深夜） 更新,,,,配信,milplus,2021-04-07,
2021年4月7日,水曜 0:00（火曜深夜） 更新,,,,配信,TELASA,2021-04-07,
2021年4月8日,木曜 12:00 更新,,,,配信,ふらっと動画,2021-04-08,
2021年4月8日,木曜 12:00 更新,,,,配信,HAPPY!動画,2021-04-08,
