期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2018年4月6日 - 9月14日,金曜 21:54 - 22:00,テレビ東京,関東広域圏,制作局 / 字幕放送,放送,2018-04-06,2018-09-14
2019年4月11日 - 9月19日,木曜 19:53 - 19:58,テレビ東京,関東広域圏,制作局 / 字幕放送,放送,2019-04-11,2019-09-19
2019年4月12日 - 9月20日,金曜 22:45 - 22:50,AT-X,日本全域,CS放送 / リピート放送あり[11],放送,2019-04-12,2019-09-20
2020年4月16日 - 9月24日,木曜 19:53 - 19:58,テレビ東京,関東広域圏,制作局 / 字幕放送,放送,2020-04-16,2020-09-24
2020年7月14日 - 9月29日,火曜 21:44 - 21:54,AT-X,日本全域,CS放送 / 2話連続放送 / リピート放送あり[13],放送,2020-07-14,2020-09-29
