期間,時間,配信サイト,タイプ,放送局,対象地域,備考,開始,終了
2020年12月7日,月曜 12:00 更新,U-NEXT,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,アニメ放題,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,dアニメストア,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,ひかりTV,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,ABEMA,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,FOD,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,GYAO!,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,ビデオマーケット,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,music.jp,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,DMM.com,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,GYAO!ストア,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,あにてれ,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,ニコニコチャンネル,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,ムービーフルPlus,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,Rakuten TV,配信,,,,2020-12-07,
2020年12月7日,月曜 12:00 更新,HAPPY!動画,配信,,,,2020-12-07,
2020年12月7日,月曜 19:00 更新,TSUTAYA TV,配信,,,,2020-12-07,
2020年12月8日,火曜 0:00 更新,J:COMオンデマンド,配信,,,,2020-12-08,
2020年12月8日,火曜 0:00 更新,TELASA,配信,,,,2020-12-08,
2020年12月8日,火曜 0:00 更新,みるプラス,配信,,,,2020-12-08,
2020年12月14日,月曜 12:00 更新,YouTube,配信,,,,2020-12-14,
2020年12月21日,月曜 12:00 更新,バンダイチャンネル,配信,,,,2020-12-21,
2021年2月8日,月曜 12:00 更新,Amazon Prime Video,配信,,,,2021-02-08,
2023年1月11日 - 3月15日,水曜 1:00 - 1:05（火曜深夜）,,放送,TOKYO MX,東京都,,2023-01-11,2023-03-15
2023年1月11日,水曜 1:00 更新（火曜深夜）,DMM TV,配信,,,,2023-01-11,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,U-NEXT,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,アニメ放題,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,dアニメストア,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,ABEMA,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,TELASA,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,J:COMオンデマンド,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,auスマートパスプレミアム,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,milplus,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,バンダイチャンネル,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,FOD,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,アニメタイムズ,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,AnimeFesta,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,ビデオマーケット,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,music.jp,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,GYAO!ストア,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,ニコニコチャンネル,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,ムービーフルPlus,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 1:00 更新（日曜深夜）,Rakuten TV,配信,,,,2023-01-16,
2023年1月16日以降順次,月曜 12:00 更新,HAPPY!動画,配信,,,,2023-01-16,
