期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年1月5日 - 3月23日,水曜 23:30 - 木曜 0:00,TOKYO MX,東京都,,放送,2022-01-05,2022-03-23
2022年1月6日 - 3月24日,木曜 0:00 - 0:30（水曜深夜）,サンテレビ,兵庫県,製作参加,放送,2022-01-06,2022-03-24
2022年1月6日 - 3月24日,木曜 0:30 - 1:00（水曜深夜）,KBS京都,京都府,,放送,2022-01-06,2022-03-24
2022年1月6日 - 3月24日,木曜 0:30 - 1:00（水曜深夜）,BS日テレ,日本全域,BS放送 [注 2] / 『アニメにむちゅ〜』枠,放送,2022-01-06,2022-03-24
2022年1月6日 - 3月24日,木曜 21:30 - 22:00,AT-X,日本全域,CS放送 / 字幕放送[34] / リピート放送あり,放送,2022-01-06,2022-03-24
