期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2020年10月4日 - 12月27日,日曜 21:30 - 22:00,AT-X,日本全域,製作参加 / CS放送 / 字幕放送 / リピート放送あり,放送,,2020-10-04,2020-12-27
2020年10月4日 - 12月27日,日曜 22:00 - 22:30,TOKYO MX,東京都,,放送,,2020-10-04,2020-12-27
2020年10月4日 - 12月27日,日曜 23:30 - 月曜 0:00,サンテレビ,兵庫県,,放送,,2020-10-04,2020-12-27
2020年10月5日 - 12月28日,月曜 1:05 - 1:35（日曜深夜）,テレビ愛知,愛知県,,放送,,2020-10-05,2020-12-28
2020年10月7日 - 12月30日,水曜 0:00 - 0:30（火曜深夜）,BSフジ,日本全域,製作参加 / BS放送 / 『アニメギルド』枠,放送,,2020-10-07,2020-12-30
2020年10月4日,日曜 22:00 更新,,,,配信,dアニメストア,2020-10-04,
2020年10月7日,水曜 22:00 - 22:30,,,,配信,ABEMA,2020-10-07,
2020年10月9日,金曜 22:00 更新,,,,配信,ニコニコチャンネル,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,GYAO!,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,ひかりTV,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,FOD,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,バンダイチャンネル,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,Hulu,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,J:COMオンデマンド,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,TELASA,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,U-NEXT,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,アニメ放題,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,Amazonプライム・ビデオ,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,Rakuten TV,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,DMM.com,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,ビデオマーケット,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,HAPPY!動画,2020-10-09,
2020年10月9日,金曜 22:00 更新,,,,配信,ムービーフルplus,2020-10-09,
2020年10月9日,金曜 22:00 - 22:30,,,,配信,ニコニコ生放送,2020-10-09,
