期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2020年1月10日 - 3月27日,金曜 1:28 - 1:58（木曜深夜）,TBSテレビ,関東広域圏,製作局 / 字幕放送  / 『アニメリコ』第1部,放送,2020-01-10,2020-03-27
2020年1月12日 - 3月29日,日曜 2:00 - 2:30（土曜深夜）,BS-TBS,日本全域,BS/BS4K放送,放送,2020-01-12,2020-03-29
2020年1月20日 - 4月6日,月曜 1:00 - 1:30（日曜深夜）,TBSチャンネル1,日本全域,CS放送 / リピート放送あり[36],放送,2020-01-20,2020-04-06
2020年4月17日 - 7月3日,金曜 1:55 - 2:25（木曜深夜）,RSK山陽放送,岡山県・香川県,字幕放送 / 作品の舞台地・岡山県のTBS系列局。,放送,2020-04-17,2020-07-03
