期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2017年7月7日 - 9月29日,金曜 21:30 - 22:00,AT-X,日本全域,製作参加 / CS放送 / リピート放送あり,放送,2017-07-07,2017-09-29
2017年7月8日 - 9月30日,土曜 1:40 - 2:10（金曜深夜）,TOKYO MX,東京都,,放送,2017-07-08,2017-09-30
2017年7月8日 - 9月30日,土曜 3:00 - 3:30（金曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2017-07-08,2017-09-30
2017年7月9日 - 10月1日,日曜 1:30 - 2:00（土曜深夜）,KBS京都,京都府,,放送,2017-07-09,2017-10-01
2017年7月10日 - 10月2日,月曜 1:25 - 1:55（日曜深夜）,サガテレビ,佐賀県,,放送,2017-07-10,2017-10-02
2017年7月10日 - 10月2日,月曜 2:05 - 2:35（日曜深夜）,テレビ愛知,愛知県,,放送,2017-07-10,2017-10-02
2017年7月10日 - 10月2日,月曜 2:35 - 3:05（日曜深夜）,TVQ九州放送,福岡県,,放送,2017-07-10,2017-10-02
2017年7月10日 - 9月25日  2017年10月3日,月曜 23:30 - 火曜 0:00火曜 0:30 - 1:30（月曜深夜）,サンテレビ,兵庫県,,放送,2017-07-10,
2022年7月6日 - 9月28日,水曜 22:30 - 23:00,AT-X,日本全域,製作参加 / CS放送 / 字幕放送[20] / リピート放送あり,放送,2022-07-06,2022-09-28
2022年7月7日 - 9月29日,木曜 1:00 - 1:30（水曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2022-07-07,2022-09-29
2022年7月7日 - 9月29日,木曜 1:05 - 1:35（水曜深夜）,TOKYO MX,東京都,,放送,2022-07-07,2022-09-29
2022年7月7日 - 9月29日,木曜 1:05 - 1:35（水曜深夜）,サンテレビ,兵庫県,,放送,2022-07-07,2022-09-29
2022年7月7日 - 9月29日,木曜 1:05 - 1:35（水曜深夜）,KBS京都,京都府,,放送,2022-07-07,2022-09-29
2022年7月8日 - 9月30日,金曜 2:35 - 3:05（木曜深夜）,テレビ愛知,愛知県,,放送,2022-07-08,2022-09-30
2022年7月11日 - 10月3日,月曜 1:25 - 1:55（日曜深夜）,サガテレビ,佐賀県,,放送,2022-07-11,2022-10-03
