期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2020年10月3日 - 2021年3月27日,土曜 1:50 - 1:55（金曜深夜）,毎日放送（製作参加）をはじめとするTBS系列全28局,日本国内[注 1],"字幕放送 / 『スーパーアニメイズム』枠""おしり""TBS、RSK山陽放送では『まるっと！サタデー』内でリピート放送[注 2]。",放送,2020-10-03,2021-03-27
2020年10月3日 - 2021年3月27日,土曜 10:58 - 11:00[注 3],BS-TBS,日本全域,BS/BS4K放送,放送,2020-10-03,2021-03-27
