期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2013年4月4日 - 6月27日,木曜 22:00 - 22:30,TOKYO MX,東京都,,放送,,2013-04-04,2013-06-27
2013年4月5日 - 6月28日,金曜 1:00 - 1:30（木曜深夜）,KBS京都,京都府,,放送,,2013-04-05,2013-06-28
2013年4月5日 - 6月28日,金曜 2:00 - 2:30（木曜深夜）,サンテレビ,兵庫県,,放送,,2013-04-05,2013-06-28
2013年4月5日 - 6月28日,金曜 2:35 - 3:05（木曜深夜）,テレビ愛知,愛知県,,放送,,2013-04-05,2013-06-28
2013年4月5日 - 7月5日,金曜 2:30 - 3:00（木曜深夜）,BS日テレ,日本全域,BS放送,放送,,2013-04-05,2013-07-05
2013年4月11日 - 7月4日,木曜 22:30 - 23:00,AT-X,日本全域,CS放送 / リピート放送あり,放送,,2013-04-11,2013-07-04
2013年4月12日,金曜 12:00 更新,,,,配信,dアニメストア,2013-04-12,
2013年4月12日,金曜 16:00 更新,,,,配信,ShowTime,2013-04-12,
2013年4月12日,金曜 23:00 - 23:30,,,,配信,ニコニコ生放送,2013-04-12,
2013年4月12日,金曜 23:30 更新,,,,配信,ニコニコチャンネル,2013-04-12,
2013年4月17日,金曜 12:00 更新,,,,配信,dアニメストア,2013-04-17,
2013年4月17日,水曜 午後 更新,,,,配信,PlayStation Store,2013-04-17,
2013年4月26日,金曜 12:00 更新,,,,配信,バンダイチャンネル,2013-04-26,
2022年7月14日 - 9月29日,木曜 23:30 - 金曜 0:00,TOKYO MX,東京都,製作参加 / 字幕放送,放送,,2022-07-14,2022-09-29
2022年7月14日 - 9月29日,木曜 23:30 - 金曜 0:00,BS11,日本全域,製作参加 / BS放送 / 『ANIME+』枠,放送,,2022-07-14,2022-09-29
2022年7月15日 - 9月30日,金曜 21:30 - 22:00,AT-X,日本全域,CS放送 / 字幕放送[51] / リピート放送あり,放送,,2022-07-15,2022-09-30
2022年7月17日 - 10月2日,日曜 2:38 - 3:08（土曜深夜）,毎日放送,近畿広域圏,『アニメシャワー』第2部,放送,,2022-07-17,2022-10-02
2023年7月13日 -,木曜 23:30 - 金曜 0:00,TOKYO MX,東京都,,放送,,2023-07-13,
2023年7月13日 -,木曜 23:30 - 金曜 0:00,BS11,日本全域,,放送,,2023-07-13,
2023年7月14日 -,金曜 22:00 - 22:30,AT-X,日本全域,リピート放送あり,放送,,2023-07-14,
2023年7月16日 -,日曜 2:38 - 3:08（土曜深夜）,毎日放送,近畿広域圏,,放送,,2023-07-16,
