期間,時間,放送局,"対象地域・備考
[42]",タイプ,開始,終了
2022年4月9日 - 6月18日,土曜 1:25 - 1:55（金曜深夜）,毎日放送（製作参加）をはじめとするTBS系列全28局,秋田県・福井県・徳島県・佐賀県を除く連動データ放送 / 『スーパーアニメイズム』枠,放送,2022-04-09,2022-06-18
2022年4月10日 - 6月19日,日曜 23:00 - 23:30,BS朝日,BS/BS4K放送 / 『アニメA』枠,放送,2022-04-10,2022-06-19
2022年4月13日 - 6月22日,水曜 22:30 - 23:00,AT-X,CS放送 / リピート放送あり,放送,2022-04-13,2022-06-22
