期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2021年10月3日 - 12月19日,日曜 2:38 - 3:08（土曜深夜）,毎日放送,近畿広域圏,『アニメシャワー』第2部,放送,2021-10-03,2021-12-19
2021年10月3日 - 12月19日,日曜 23:30 - 月曜 0:00,AT-X,日本全域,CS放送 / 字幕放送[10] / リピート放送あり,放送,2021-10-03,2021-12-19
2021年10月5日 - 12月21日,火曜 0:30 - 1:00（月曜深夜）,TOKYO MX,東京都,,放送,2021-10-05,2021-12-21
2021年10月8日 - 12月24日,金曜 23:00 - 23:30,BS朝日,日本全域,BS/BS4K放送 / 『アニメA』枠,放送,2021-10-08,2021-12-24
