期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年4月4日 - 6月6日,月曜 1:00 - 1:05（日曜深夜）,TOKYO MX,東京都,,放送,2022-04-04,2022-06-06
2022年4月4日 - 6月6日,月曜 1:00 - 1:05（日曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2022-04-04,2022-06-06
