期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年7月4日 - 9月12日,月曜 20:00 - 20:30,AT-X,日本全域,CS放送 / 字幕放送[52] / リピート放送あり[53],放送,2022-07-04,2022-09-12
2022年7月5日 - 9月13日,火曜 0:00 - 0:30（月曜深夜）,TOKYO MX,東京都,,放送,2022-07-05,2022-09-13
2022年7月6日 - 9月14日,水曜 0:30 - 1:00（火曜深夜）,BS日テレ,日本全域,製作参加 / BS放送 / 『アニメにむちゅ〜』枠,放送,2022-07-06,2022-09-14
2022年7月6日 - 9月14日,水曜 0:30 - 1:00（火曜深夜）,BSフジ,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,2022-07-06,2022-09-14
