期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2021年10月13日 - 12月29日,水曜 0:30 - 1:00（火曜深夜）,TOKYO MX,東京都,,放送,2021-10-13,2021-12-29
2021年10月13日 - 12月29日,水曜 1:00 - 1:30（火曜深夜）,BS11,日本全域,『ANIME+』枠,放送,2021-10-13,2021-12-29
2021年10月13日 - 12月29日,水曜 2:30 - 3:00（火曜深夜）,毎日放送,近畿広域圏,『アニメ特区』第1部,放送,2021-10-13,2021-12-29
2021年10月13日 - 12月29日,水曜 21:30 - 22:00,AT-X,日本全域,CS放送 / 字幕放送[25] / リピート放送あり,放送,2021-10-13,2021-12-29
2021年10月16日 - 2022年1月4日,土曜 2:05 - 2:35（金曜深夜）,テレビ愛知,愛知県,最終回のみ曜日変更,放送,2021-10-16,2022-01-04
