期間,時間,放送局,"対象地域・備考
[48]",タイプ,配信サイト,開始,終了
2021年4月11日 - 10月3日,日曜 0:55 - 1:25（土曜深夜）,日本テレビ,関東広域圏 / 製作局,放送,,2021-04-11,2021-10-03
2021年4月11日 - 10月3日,日曜 0:55 - 1:25（土曜深夜）,青森放送,青森県,放送,,2021-04-11,2021-10-03
2021年4月11日 - 10月3日,日曜 0:55 - 1:25（土曜深夜）,テレビ岩手,岩手県,放送,,2021-04-11,2021-10-03
2021年4月11日 - 10月3日,日曜 0:55 - 1:25（土曜深夜）,山形放送,山形県,放送,,2021-04-11,2021-10-03
2021年4月11日 - 10月3日,日曜 0:55 - 1:25（土曜深夜）,南海放送,愛媛県,放送,,2021-04-11,2021-10-03
2021年4月11日 - 10月3日,日曜 0:55 - 1:25（土曜深夜）,テレビ宮崎,宮崎県,放送,,2021-04-11,2021-10-03
2021年4月11日 - 10月3日,日曜 1:25 - 1:55（土曜深夜）,広島テレビ,広島県,放送,,2021-04-11,2021-10-03
2021年4月11日 - 10月3日,日曜 1:50 - 2:20（土曜深夜）,山口放送,山口県,放送,,2021-04-11,2021-10-03
2021年4月11日 - 10月3日,日曜 1:52 - 2:22（土曜深夜）,四国放送,徳島県,放送,,2021-04-11,2021-10-03
2021年4月11日 - 10月3日,日曜 1:55 - 2:25（土曜深夜）,静岡第一テレビ,静岡県,放送,,2021-04-11,2021-10-03
2021年4月12日 - 10月4日,月曜 1:25 - 1:55（日曜深夜）,テレビ大分,大分県,放送,,2021-04-12,2021-10-04
2021年4月12日 - 10月4日,月曜 1:55 - 2:25（日曜深夜）,西日本放送,香川県・岡山県,放送,,2021-04-12,2021-10-04
2021年4月13日 - 10月5日,火曜 1:35 - 2:05（月曜深夜）,日本海テレビ,鳥取県・島根県,放送,,2021-04-13,2021-10-05
2021年4月13日 - 10月5日,火曜 1:59 - 2:29（月曜深夜）,福岡放送,福岡県,放送,,2021-04-13,2021-10-05
2021年4月14日 - 10月6日,水曜 1:54 - 2:24（火曜深夜）,中京テレビ,中京広域圏,放送,,2021-04-14,2021-10-06
2021年4月15日 - 7月1日2021年7月7日 - 10月6日,木曜 0:59 - 1:29（水曜深夜）水曜 0:59 - 1:29（火曜深夜）,長崎国際テレビ,長崎県,放送,,2021-04-15,
2021年4月15日 - 10月7日,木曜 1:34 - 2:04（水曜深夜）,札幌テレビ,北海道,放送,,2021-04-15,2021-10-07
2021年4月15日 - 10月7日,木曜 1:34 - 2:04（水曜深夜）,鹿児島読売テレビ,鹿児島県,放送,,2021-04-15,2021-10-07
2021年4月15日 - 10月7日,木曜 1:54 - 2:24（水曜深夜）,北日本放送,富山県,放送,,2021-04-15,2021-10-07
2021年4月16日 - 10月8日,金曜 0:59 - 1:29（木曜深夜）,くまもと県民テレビ,熊本県,放送,,2021-04-16,2021-10-08
2021年4月16日 - 10月8日,金曜 1:24 - 1:54（木曜深夜）,秋田放送,秋田県,放送,,2021-04-16,2021-10-08
2021年4月16日 - 10月8日,金曜 1:34 - 2:04（木曜深夜）,テレビ金沢,石川県,放送,,2021-04-16,2021-10-08
2021年4月16日 - 10月8日,金曜 1:44 - 2:14（木曜深夜）,テレビ新潟,新潟県,放送,,2021-04-16,2021-10-08
2021年4月16日 - 10月8日,金曜 1:44 - 2:14（木曜深夜）,テレビ信州,長野県,放送,,2021-04-16,2021-10-08
2021年4月16日 - 10月8日,金曜 1:54 - 2:24（木曜深夜）,高知放送,高知県,放送,,2021-04-16,2021-10-08
2021年4月17日 - 10月9日,土曜 0:30 - 1:00（金曜深夜）,福井放送,福井県,放送,,2021-04-17,2021-10-09
2021年4月17日 - 10月9日,土曜 1:35 - 2:05（金曜深夜）,読売テレビ,近畿広域圏『金曜日はシンデレラ』枠,放送,,2021-04-17,2021-10-09
2021年4月17日 - 10月9日,土曜 1:56 - 2:26（金曜深夜）,福島中央テレビ,福島県,放送,,2021-04-17,2021-10-09
2021年4月17日 - 10月9日,土曜 1:59 - 2:29（金曜深夜）,ミヤギテレビ,宮城県,放送,,2021-04-17,2021-10-09
2021年4月18日 - 10月10日,日曜 1:10 - 1:40（土曜深夜）,山梨放送,山梨県,放送,,2021-04-18,2021-10-10
2021年4月25日 - 6月27日2021年7月5日 - 10月11日,日曜 0:30 - 1:00（土曜深夜）月曜 23:30 - 火曜 0:00,BS日テレ,BS放送『アニメにむちゅ〜』枠,放送,,2021-04-25,
2021年5月13日 - 10月28日,木曜 0:30 - 1:00（水曜深夜）,日テレプラス,CS放送リピート放送あり[49],放送,,2021-05-13,2021-10-28
2021年4月11日,日曜 1:35（土曜深夜） 更新,,,配信,Hulu,2021-04-11,
2021年4月11日,日曜 1:35（土曜深夜） 更新,,,配信,Netflix,2021-04-11,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,dアニメストア,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,U-NEXT,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,dTV,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,ひかりTV,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,FOD,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,ニコニコチャンネル,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,Paravi,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,Google Play,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,Rakuten TV,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,TSUTAYA TV,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,ビデオマーケット,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,DMM.com,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,GYAO!ストア,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,music.jp,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,COCORO VIDEO,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,HAPPY！動画,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,ムービーフルPlus,2021-04-18,
2021年4月18日,日曜 1:35（土曜深夜） 更新,,,配信,GYAO!,2021-04-18,
2021年4月18日,日曜 2:00（土曜深夜） 更新,,,配信,バンダイチャンネル,2021-04-18,
2021年4月18日,日曜 22:00 - 22:30,,,配信,ニコニコ生放送,2021-04-18,
2021年4月19日,月曜 0:00（日曜深夜） 更新,,,配信,J:COMオンデマンド,2021-04-19,
2021年4月19日,月曜 0:00（日曜深夜） 更新,,,配信,TELASA,2021-04-19,
2021年4月19日,月曜 0:00（日曜深夜） 更新,,,配信,みるプラス,2021-04-19,
2021年4月19日,月曜 0:00（日曜深夜） 更新,,,配信,auスマートパスプレミアム,2021-04-19,
2023年4月2日 -,日曜 0:55 - 1:25（土曜深夜）,日本テレビ,関東広域圏 / 製作局字幕放送[50],放送,,2023-04-02,
2023年4月2日 -,日曜 0:55 - 1:25（土曜深夜）,青森放送,青森県 / 字幕放送[51],放送,,2023-04-02,
2023年4月2日 -,日曜 0:55 - 1:25（土曜深夜）,テレビ岩手,岩手県 / 字幕放送[52],放送,,2023-04-02,
2023年4月2日 -,日曜 0:55 - 1:25（土曜深夜）,山形放送,山形県 / 字幕放送[53],放送,,2023-04-02,
2023年4月2日 -,日曜 0:55 - 1:25（土曜深夜）,四国放送,徳島県 / 字幕放送[54],放送,,2023-04-02,
2023年4月2日 -,日曜 0:55 - 1:25（土曜深夜）,南海放送,愛媛県 / 字幕放送[55],放送,,2023-04-02,
2023年4月2日 -,日曜 1:25 - 1:55（土曜深夜）,広島テレビ,広島県,放送,,2023-04-02,
2023年4月2日 -,日曜 1:50 - 2:20（土曜深夜）,テレビ宮崎,宮崎県 / 字幕放送[56],放送,,2023-04-02,
2023年4月2日 -,日曜 1:55 - 2:25（土曜深夜）,静岡第一テレビ,静岡県,放送,,2023-04-02,
2023年4月3日 -,月曜 1:25 - 1:55（日曜深夜）,西日本放送,香川県・岡山県字幕放送[57],放送,,2023-04-03,
2023年4月3日 -,月曜 1:25 - 1:55（日曜深夜）,テレビ大分,大分県,放送,,2023-04-03,
2023年4月4日 -,火曜 1:59 - 2:29（月曜深夜）,福岡放送,福岡県,放送,,2023-04-04,
2023年4月5日 -,水曜 1:29 - 1:59（火曜深夜）,長崎国際テレビ,長崎県 / 字幕放送[58],放送,,2023-04-05,
2023年4月5日 -,水曜 2:00 - 2:30（火曜深夜）,日本海テレビ,鳥取県・島根県,放送,,2023-04-05,
2023年4月6日 -,木曜 1:24 - 1:54（水曜深夜）,高知放送,高知県,放送,,2023-04-06,
2023年4月6日 -,木曜 1:34 - 2:04（水曜深夜）,鹿児島読売テレビ,鹿児島県 / 字幕放送[59],放送,,2023-04-06,
2023年4月6日 -,木曜 1:37 - 2:07（水曜深夜）,中京テレビ,中京広域圏,放送,,2023-04-06,
2023年4月6日 -,木曜 1:59 - 2:29（水曜深夜）,札幌テレビ,北海道,放送,,2023-04-06,
2023年4月6日 -,木曜 1:59 - 2:29（水曜深夜）,北日本放送,富山県 / 字幕放送[60],放送,,2023-04-06,
2023年4月7日 -,金曜 0:59 - 1:29（木曜深夜）,くまもと県民テレビ,熊本県 / 字幕放送[61],放送,,2023-04-07,
2023年4月7日 -,金曜 1:24 - 1:54（木曜深夜）,秋田放送,秋田県 / 字幕放送[62],放送,,2023-04-07,
2023年4月7日 -,金曜 1:35 - 2:05（木曜深夜）,テレビ金沢,石川県 / 字幕放送[63],放送,,2023-04-07,
