期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2020年1月9日 - 3月26日,木曜 23:30 - 金曜 0:00,BS日テレ,日本全域,BS/BS4K放送 / 『アニメにむちゅ〜』枠,放送,2020-01-09,2020-03-26
2020年1月10日 - 3月27日,金曜 2:30 - 3:00（木曜深夜）,毎日放送,関西広域圏,,放送,2020-01-10,2020-03-27
2020年1月11日 - 3月28日,土曜 2:05 - 2:35（金曜深夜）,TOKYO MX,東京都,,放送,2020-01-11,2020-03-28
2020年6月4日,木曜 0:00 - 0:30（水曜深夜）,BS日テレ,日本全域,BS/BS4K放送,放送,2020-06-04,
2020年6月6日,土曜 2:05 - 2:35（金曜深夜）,TOKYO MX,東京都,,放送,2020-06-06,
2020年6月9日,火曜 2:35 - 3:05（月曜深夜）,毎日放送,関西広域圏,,放送,2020-06-09,
