期間,時間,放送局,"対象地域・備考
[18]",タイプ,配信サイト,開始,終了
2022年10月16日 - 12月25日,日曜 2:00 - 2:30（土曜深夜）,朝日放送テレビ（幹事局）およびテレビ朝日系列全24局,日本国内[注釈 4]『ANiMAZiNG!!!』枠,放送,,2022-10-16,2022-12-25
2022年10月16日 - 12月25日,日曜 23:30 - 月曜 0:00,BS朝日,BS放送 / 『アニメA』枠,放送,,2022-10-16,2022-12-25
2022年10月19日 - 12月29日,水曜 20:30 - 21:00,AT-X,CS放送 /  字幕放送[19] / リピート放送あり,放送,,2022-10-19,2022-12-29
2022年10月16日,日曜 2:30 - 3:00（土曜深夜）,,,配信,ABEMA,2022-10-16,
2022年10月18日,火曜 2:30（月曜深夜） 更新,,,配信,Amazon Prime Video,2022-10-18,
2022年10月18日,火曜 2:30（月曜深夜） 更新,,,配信,U-NEXT,2022-10-18,
2022年10月18日,火曜 2:30（月曜深夜） 更新,,,配信,アニメ放題,2022-10-18,
2022年10月18日,火曜 2:30（月曜深夜） 更新,,,配信,バンダイチャンネル,2022-10-18,
2022年10月18日,火曜 2:30（月曜深夜） 更新,,,配信,Hulu,2022-10-18,
2022年10月18日,火曜 2:30（月曜深夜） 更新,,,配信,dアニメストア（本店・ニコニコ支店・for Prime Video）,2022-10-18,
2022年10月18日,火曜 2:30（月曜深夜） 更新,,,配信,GYAO!,2022-10-18,
2022年10月18日,火曜 2:30（月曜深夜） 更新,,,配信,FOD,2022-10-18,
2022年10月18日,火曜 2:30（月曜深夜） 更新,,,配信,ひかりTV,2022-10-18,
2022年10月18日,火曜 2:30（月曜深夜） 更新,,,配信,ニコニコチャンネル,2022-10-18,
2022年10月18日,火曜 12:00 更新,,,配信,TVer,2022-10-18,
2022年10月18日,火曜 23:00 - 23:30,,,配信,ニコニコ生放送,2022-10-18,
2022年10月20日,木曜 0:00（水曜深夜） 更新,,,配信,TELASA,2022-10-20,
2022年10月20日,木曜 0:00（水曜深夜） 更新,,,配信,J:COMオンデマンド,2022-10-20,
2022年10月20日,木曜 0:00（水曜深夜） 更新,,,配信,milplus,2022-10-20,
2022年10月20日,木曜 0:00（水曜深夜） 更新,,,配信,auスマートパスプレミアム,2022-10-20,
