期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2021年1月10日 - 3月28日,日曜 23:30 - 月曜 0:00,TOKYO MX,東京都,,放送,,2021-01-10,2021-03-28
2021年1月10日 - 3月28日,日曜 23:30 - 月曜 0:00,KBS京都,京都府,,放送,,2021-01-10,2021-03-28
2021年1月10日 - 3月28日,日曜 23:30 - 月曜 0:00,BS日テレ,日本全域,BS/BS4K放送 / 『アニメにむちゅ〜』枠,放送,,2021-01-10,2021-03-28
2021年1月10日 - 3月28日,日曜 23:30 - 月曜 0:00,アニマックス,日本全域,製作参加 / BS/CS放送,放送,,2021-01-10,2021-03-28
2021年1月10日,日曜 23:00 - 23:30,,,地上波先行・Web最速配信,配信,ABEMA,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,ABEMAプレミアム,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,Netflix,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,Amazon Prime Video,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,dアニメストア（本店・ニコニコ支店・for Prime Video）,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,U-NEXT,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,FOD,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,バンダイチャンネル,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,ひかりTV,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,アニメ放題,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,J:COMオンデマンド,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,TELASA,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,みるプラス,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,auスマートパスプレミアム,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,ニコニコチャンネル,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,あにてれ,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,GYAO!,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,ビデオマーケット,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,DMM.com,2021-01-10,
2021年1月10日,日曜 23:30 更新,,,,配信,music.jp,2021-01-10,
2021年1月11日,月曜 22:30 - 23:00,,,,配信,ニコニコ生放送,2021-01-11,
