期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2021年10月6日 - 12月22日,水曜 0:00 - 0:30（火曜深夜）,テレビ東京,関東広域圏,協力,放送,2021-10-06,2021-12-22
2021年10月6日 - 12月22日,水曜 0:00 - 0:30（火曜深夜）,テレビ北海道,北海道,,放送,2021-10-06,2021-12-22
2021年10月6日 - 12月22日,水曜 0:00 - 0:30（火曜深夜）,テレビ愛知,愛知県,,放送,2021-10-06,2021-12-22
2021年10月6日 - 12月22日,水曜 0:00 - 0:30（火曜深夜）,テレビ大阪,大阪府,,放送,2021-10-06,2021-12-22
2021年10月6日 - 12月22日,水曜 0:00 - 0:30（火曜深夜）,テレビせとうち,岡山県・香川県,,放送,2021-10-06,2021-12-22
2021年10月6日 - 12月22日,水曜 0:00 - 0:30（火曜深夜）,TVQ九州放送,福岡県,,放送,2021-10-06,2021-12-22
2021年10月6日 - 12月22日,水曜 0:00 - 0:30（火曜深夜）,BSテレ東,日本全域,BS/BS4K放送,放送,2021-10-06,2021-12-22
2021年10月8日 - 12月24日,金曜 21:00 - 21:30,AT-X,日本全域,CS放送 / リピート放送あり[18],放送,2021-10-08,2021-12-24
2021年11月22日 - 2022年2月7日,月曜 1:30 - 2:00（日曜深夜）,びわ湖放送,滋賀県,[19],放送,2021-11-22,2022-02-07
2021年12月4日 - 2022年2月26日,土曜 23:00 - 23:30,アニマックス,日本全域,BS/CS放送[20],放送,2021-12-04,2022-02-26
