期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2023年1月7日 - 3月25日,土曜 22:00 - 22:30,TOKYO MX,東京都,,放送,,2023-01-07,2023-03-25
2023年1月7日 - 3月25日,土曜 22:00 - 22:30,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2023-01-07,2023-03-25
2023年1月9日 - 3月27日,月曜 0:30 - 1:00（日曜深夜）,AT-X,日本全域,CS放送 / 字幕放送[31] / リピート放送あり,放送,,2023-01-09,2023-03-27
2023年1月7日,土曜 23:00 更新,,,,配信,dアニメストア,2023-01-07,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,ABEMA,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,Amazon Prime Video,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,アニメタイムズ,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,auスマートパスプレミアム,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,バンダイチャンネル,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,dTV,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,DMM TV,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,FOD,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,Hulu,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,J:COMオンデマンド,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,milplus,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,TELASA,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,U-NEXT,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,クランクイン！ビデオ,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,GYAO!ストア,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,ニコニコ動画,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,Rakuten TV,2023-01-12,
2023年1月12日,木曜 0:00（水曜深夜） 更新,,,,配信,ビデオマーケット,2023-01-12,
2023年1月14日,土曜 0:00 - 0:30（金曜深夜）,,,,配信,ニコニコ生放送,2023-01-14,
