期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2019年7月8日 - 10月7日,月曜 23:30 - 火曜 0:00,AT-X,日本全域,製作参加 / CS放送 / リピート放送あり,放送,,2019-07-08,2019-10-07
2019年7月9日 - 10月8日,火曜 0:30 - 1:00（月曜深夜）,TOKYO MX,東京都,,放送,,2019-07-09,2019-10-08
2019年7月9日 - 10月8日,火曜 0:30 - 1:00（月曜深夜）,サンテレビ,兵庫県,,放送,,2019-07-09,2019-10-08
2019年7月9日 - 10月8日,火曜 1:00 - 1:30（月曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2019-07-09,2019-10-08
2019年7月9日,火曜 0:30（月曜深夜） 更新,,,,配信,dアニメストア,2019-07-09,
2019年7月12日,金曜 12:00以降 更新,,,,配信,アニメ放題,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,Amazon Prime Video,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,AbemaTV,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,FOD,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,GYAO!,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,GYAO!ストア,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,J:COMオンデマンド メガパック,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,Netflix,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,ニコニコ生放送,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,ニコニコチャンネル,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,バンダイチャンネル,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,ひかりTV,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,ビデオパス,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,Hulu,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,U-NEXT,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,あにてれ,2019-07-12,
2019年7月12日,金曜 12:00以降 更新,,,,配信,ビデオマーケット,2019-07-12,
2022年1月13日 - 3月31日,木曜 23:30 - 金曜 0:00,AT-X,日本全域,製作参加 / CS放送 / 字幕放送[114] / リピート放送あり,放送,,2022-01-13,2022-03-31
2022年1月14日 - 4月1日,金曜 0:00 - 0:30（木曜深夜）,TOKYO MX,東京都,,放送,,2022-01-14,2022-04-01
2022年1月14日 - 4月1日,金曜 0:00 - 0:30（木曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2022-01-14,2022-04-01
2022年1月14日,金曜 0:00（木曜深夜） 更新,,,,配信,dアニメストア,2022-01-14,
2021年1月16日,日曜 12:00以降 更新,,,,配信,Amazon Prime Video,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,Netflix,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,U-NEXT,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,アニメ放題,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,FOD,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,Hulu,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,TELASA,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,ABEMA,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,ひかりTV,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,J:COMオンデマンド,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,バンダイチャンネル,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,GYAO!,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,auスマートパスプレミアム,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,milplus,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,ニコニコチャンネル,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,Rakuten TV,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,ビデオマーケット,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,Google Play,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,TSUTAYA TV,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,HAPPY!動画,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,ムービーフルPlus,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,DMM.com,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,GYAO!ストア,2021-01-16,
2021年1月16日,日曜 12:00以降 更新,,,,配信,music.jp,2021-01-16,
